Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,GPS,37.4214505256,-122.1587298992,-21.046286809837184,0.0,6.0402455,,1675788680003,0.69445795,,4143190903006877,20.684221,Bike
Fix,FLP,37.4216937,-122.1589746,-8.600000381469727,2.2935565,33.808,302.70193,1675788680287,,,4143190903006877,1.7519987,Bike
Fix,NLP,37.4215673,-122.1586036,-8.700000762939453,,15.49,,1675788681061,,,4143191676000000,1.0469826,Bike
Fix,FLP,37.4216661,-122.1589157,-8.700000762939453,0.18395825,35.924,359.62262,1675788680827,,,4143191442100366,1.6352607,Bike
Fix,GPS,37.4214568951,-122.1587242916,-16.18692676447982,0.0,8.779755,,1675788681003,0.7443248,,4143191903301799,13.373339,Bike
Fix,FLP,37.4215827,-122.1588234,-8.700000762939453,0.45665112,33.989,179.80092,1675788681369,,,4143191984624658,1.6376607,Bike
Fix,GPS,37.4214594439,-122.1587154107,-12.605413717374752,0.0,20.263903,,1675788682001,0.6277138,,4143192948376100,24.488811,Bike
Fix,FLP,37.4215449,-122.1587727,-8.700000762939453,0.018656565,31.839,,1675788681912,,,4143192527150231,1.6484977,Bike
Fix,GPS,37.4214968153,-122.1586526971,1.400744751114232,0.0,16.08275,,1675788683001,0.36093402,,4143193911325075,16.791954,Bike
Fix,FLP,37.4215254,-122.1587469,-8.700000762939453,0.04039217,29.373,,1675788682996,,,4143193612203698,1.6581755,Bike
Fix,GPS,37.4215094951,-122.1586432412,0.6685547061115428,0.0,11.794509,,1675788684001,0.35828128,,4143194926809410,13.237075,Bike
Fix,FLP,37.4215139,-122.1587309,-8.700000762939453,0.044030424,26.211,,1675788684082,,,4143194697261132,1.6670312,Bike
Fix,GPS,37.4215083583,-122.1586440859,-1.0397489945237588,0.0,9.8965225,,1675788685000,0.41014606,,4143195897287682,11.327892,Bike
Fix,FLP,37.4215059,-122.1587201,-8.700000762939453,0.039352532,23.358,,1675788685166,,,4143195782320641,1.6772637,Bike
Fix,NLP,37.4215914,-122.1585902,-8.90000057220459,,14.051,,1675788686049,,,4143196665000000,1.5779592,Bike
Fix,FLP,37.4215003,-122.1587127,-8.90000057220459,0.031475198,17.778,,1675788685709,,,4143196324851464,1.6124465,Bike
Fix,FLP,37.421506,-122.1586979,-8.90000057220459,0.053745557,11.792,,1675788686252,,,4143196867382714,1.6124465,Bike
Fix,GPS,37.4215039901,-122.1586459041,-1.831605197943111,0.0,9.189207,,1675788686000,0.40569627,,4143196868117000,10.463183,Bike
Fix,FLP,37.421513,-122.1586791,-8.90000057220459,0.03489567,11.581,,1675788687337,,,4143197952446496,1.6154265,Bike
Fix,GPS,37.4215040606,-122.1586459067,-2.068150711362436,0.0,9.080081,,1675788687000,0.5194596,,4143197868257000,10.001181,Bike
Fix,FLP,37.4215169,-122.1586681,-8.90000057220459,0.019584991,11.458,,1675788687879,,,4143198494982812,1.6268451,Bike
Fix,GPS,37.4215024176,-122.1586465703,-1.6816718332889684,0.0,9.113464,,1675788688000,0.6032823,,4143198868142000,9.632019,Bike
Fix,FLP,37.421518,-122.1586648,-8.90000057220459,0.016707184,11.416,,1675788688422,,,4143199037512414,1.635764,Bike
Fix,GPS,37.4215008728,-122.1586489208,-1.782411908362392,0.0,9.272695,,1675788689000,0.65246564,,4143199868358000,9.513586,Bike
Fix,FLP,37.4215189,-122.1586617,-10.769653301729534,0.0041677137,11.288,,1675788688964,,,4143199580046105,1.6409706,Bike
Fix,FLP,37.4215193,-122.1586593,-10.769653301729534,0.008348729,11.099,,1675788690050,,,4143200665114648,1.6409706,Bike
Fix,GPS,37.4215003399,-122.1586519965,-1.7087235487751324,0.0,9.474588,,1675788690000,0.6699032,,4143200868236000,9.413238,Bike
Fix,FLP,37.4215194,-122.1586567,-8.90000057220459,0.00863249,10.988,,1675788690592,,,4143201207648827,1.657375,Bike
Fix,NLP,37.4215862,-122.1585685,-8.5,,14.956,,1675788691203,,,4143201818000000,1.1304905,Bike
Fix,FLP,37.4215193,-122.158656,-8.5,0.007842549,10.889,,1675788691134,,,4143201750181176,1.5773302,Bike
Fix,GPS,37.4215006627,-122.1586542434,-1.2259537652946184,0.0,9.568104,,1675788691000,20.0,,4143201868210000,9.364341,Bike
Fix,GPS,37.42150153,-122.1586540608,-1.1568564625895932,0.0,37.253105,,1675788692000,1.585683,,4143202868265000,9.439925,Bike
Fix,FLP,37.4215227,-122.1586498,-8.5,0.022924546,10.648,,1675788692220,,,4143202835255089,1.6037321,Bike
Fix,GPS,37.4215018856,-122.1586536945,-1.4103057044801293,0.0,10.509663,,1675788693000,20.0,,4143203868292000,9.526039,Bike
Fix,FLP,37.4215254,-122.158645,-8.5,0.032098837,10.51,,1675788693305,,,4143203920319482,1.5290554,Bike
Fix,GPS,37.4215037897,-122.1586545165,-1.4261964870802175,0.0,10.400599,,1675788694000,0.82963943,,4143204868512000,9.620734,Bike
Fix,FLP,37.4215273,-122.1586412,-8.5,0.033197094,10.46,,1675788694390,,,4143205005385217,1.5373362,Bike
Fix,GPS,37.4215052193,-122.1586584741,-1.574297738863159,0.0,10.106965,,1675788695000,20.0,,4143205868293000,9.671152,Bike
Fix,FLP,37.4215287,-122.1586382,-10.895298155595183,0.029942907,10.463,,1675788694932,,,4143205547917138,1.5896007,Bike
Fix,NLP,37.4215893,-122.1585643,-8.5,,15.961,,1675788696287,,,4143206902000000,1.4271681,Bike
