Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,GPS,37.4274113471,-122.1732768472,-13.863161546084942,0.0,21.223291,,1675794360712,0.93583995,,4148871683833700,34.746906,Bike
Fix,FLP,37.4273558,-122.1730495,0.1999999582767486,0.12915325,13.465,225.99893,1675794360861,,,4148871476451966,1.9067734,Bike
Fix,GPS,37.4273836579,-122.1732453554,-6.506267600082153,0.0,17.519295,,1675794361712,0.41933686,,4148872677676271,20.762579,Bike
Fix,FLP,37.4273497,-122.1730527,0.1999999582767486,0.111164644,12.93,226.68312,1675794361874,,,4148872489348939,1.9171734,Bike
Fix,GPS,37.4273723265,-122.173225489,-1.166233233322613,0.0,13.874282,,1675794362712,0.4609116,,4148873679560345,14.485091,Bike
Fix,FLP,37.4273475,-122.1730509,0.1999999582767486,0.07687777,12.32,,1675794362887,,,4148873502240540,1.9267634,Bike
Fix,FLP,37.4273467,-122.1730445,0.1999999582767486,0.040849805,11.786,,1675794363393,,,4148874008688599,1.9267634,Bike
Fix,GPS,37.4273784099,-122.1732009893,1.3146104675379089,0.0,12.922408,,1675794363999,0.5124172,,4148874969004845,11.789608,Bike
Fix,FLP,37.4273372,-122.1730453,0.1999999582767486,0.044469256,12.75,,1675794364354,,,4148874969004845,1.9395634,Bike
Fix,NLP,37.4272188,-122.1729574,0.1999999582767486,,20.828,,1675794365072,,,4148875688000000,1.8257008,Bike
Fix,FLP,37.4273296,-122.173045,0.1999999582767486,0.045682646,13.71,,1675794365073,,,4148875688000000,1.8151381,Bike
Fix,GPS,37.4273841744,-122.1731861125,2.2678614333312703,0.0,12.339554,,1675794364999,0.5895529,,4148875983356041,10.524451,Bike
Fix,FLP,37.4273237,-122.1730445,0.1999999582767486,0.046998233,14.353,,1675794365368,,,4148875983356041,1.8184978,Bike
Fix,GPS,37.4273792388,-122.1731811821,3.325695051324521,0.0,11.39123,,1675794365999,0.48998898,,4148876953043000,9.490115,Bike
Fix,FLP,37.4273179,-122.1730452,0.1999999582767486,0.051084723,14.952,,1675794366338,,,4148876953043000,1.827862,Bike
Fix,GPS,37.4273723539,-122.1731770987,4.096409687519527,0.0,10.529013,,1675794366999,0.45091778,,4148877953020000,8.728799,Bike
Fix,FLP,37.4273126,-122.1730471,0.1999999582767486,0.057972703,15.623,,1675794367338,,,4148877953020000,1.8373783,Bike
Fix,GPS,37.4273759831,-122.173172116,4.221497405603901,0.0,9.924938,,1675794367999,0.44986334,,4148878953046000,8.109058,Bike
Fix,FLP,37.4273358,-122.1730978,0.1999999582767486,0.20964015,15.455,266.1553,1675794368338,0.44986334,,4148878953046000,1.8486679,Bike
Fix,GPS,37.4273787657,-122.1731685795,4.384395904554815,0.0,9.61947,,1675794368999,0.45035055,,4148879953052000,7.6178207,Bike
Fix,FLP,37.4273505,-122.1731255,0.1999999582767486,0.29541117,15.374,271.0463,1675794369338,0.45035055,,4148879953052000,1.8582479,Bike
Fix,NLP,37.4272516,-122.1730061,0.1999999582767486,,20.083,,1675794370156,,,4148880771000000,2.3083358,Bike
Fix,FLP,37.4273593,-122.1731416,0.1999999582767486,0.34218943,13.687,273.08423,1675794370156,0.45035055,,4148880771000000,2.0288222,Bike
Fix,GPS,37.4273831849,-122.1731673333,4.334927632301361,0.0,9.264452,,1675794369999,20.0,,4148880953063000,7.214524,Bike
Fix,FLP,37.4273656,-122.1731492,0.1999999582767486,0.3670765,13.055,274.39346,1675794370338,20.0,,4148880953063000,2.0168574,Bike
Fix,GPS,37.4273857669,-122.173161223,4.482187604328005,0.0,9.224963,,1675794370999,20.0,,4148881953081000,7.131185,Bike
Fix,FLP,37.4273742,-122.1731584,0.1999999582767486,0.38649887,10.572,276.37967,1675794371338,20.0,,4148881953081000,2.044586,Bike
Fix,GPS,37.4273872349,-122.1731549906,4.484740431314048,0.0,9.358488,,1675794371999,0.6564543,,4148882953311000,7.165837,Bike
Fix,FLP,37.4273806,-122.1731611,0.1999999582767486,0.3817224,9.413,278.30273,1675794372338,0.6564543,,4148882953311000,2.0557694,Bike
Fix,GPS,37.4273859183,-122.1731489684,4.642190476318223,0.0,9.370991,,1675794372999,0.4920428,,4148883953118000,7.1699057,Bike
Fix,FLP,37.4273647,-122.1730878,0.1999999582767486,0.020558389,8.997,,1675794373120,,,4148883735238487,2.0557694,Bike
Fix,GPS,37.4273836127,-122.1731438973,4.6265271840871,0.0,9.330252,,1675794373999,0.4673795,,4148884953117000,7.1778445,Bike
Fix,FLP,37.4273529,-122.1730375,8.739126663181679,0.007302998,8.377,,1675794374205,,,4148884820489343,2.0532663,Bike
Fix,NLP,37.4272519,-122.1730134,0.1999999582767486,,15.919,,1675794375121,,,4148885737000000,1.9898038,Bike
Fix,FLP,37.4273494,-122.1730228,8.429908502844413,0.045558464,8.179,,1675794374747,,,4148885363127220,2.0019948,Bike
Fix,GPS,37.4273880888,-122.1731453295,4.322514039737936,0.0,9.266644,,1675794374999,0.45828837,,4148885953138000,7.1493773,Bike
Fix,FLP,37.427346,-122.1730135,8.739126663181679,0.087487206,7.669,,1675794375290,,,4148885905745445,2.005159,Bike
Fix,GPS,37.4273881489,-122.1731435858,3.852991787475733,0.0,9.2872925,,1675794375999,0.48320642,,4148886953169000,7.228388,Bike
Fix,FLP,37.4273428,-122.1730035,7.289827225239264,0.095227316,7.172,,1675794376376,,,4148886991016197,2.014535,Bike
Fix,FLP,37.4273419,-122.1730011,7.289827225239264,0.04172405,6.573,,1675794376904,,,4148887519000000,2.014535,Bike
Fix,GPS,37.4273857344,-122.1731415183,3.858653226030465,0.0,9.301874,,1675794376999,20.0,,4148887953196000,7.3365073,Bike
Fix,FLP,37.4273419,-122.1730009,5.31217108609647,0.004765007,6.511,,1675794377460,,,4148888076275963,2.024456,Bike
Fix,GPS,37.4273809435,-122.1731399564,3.922831334181936,0.0,15.795996,,1675794377999,1.0616452,,4148888953230000,7.533721,Bike
Fix,FLP,37.4273428,-122.1730016,0.1999999582767486,0.0029442222,6.052,,1675794378003,,,4148888618908470,2.0343144,Bike
Fix,GPS,37.4273843099,-122.1731401852,3.982977148594264,0.0,14.820338,,1675794378999,1.1541862,,4148889953213000,7.712249,Bike
Fix,FLP,37.4273438,-122.173002,2.729026042096009,0.00776662,6.063,,1675794379088,,,4148889704163658,2.0443044,Bike
Fix,NLP,37.4273044,-122.1730297,0.1999999582767486,,28.205,,1675794380149,,,4148890765000000,1.914693,Bike
Fix,FLP,37.4273448,-122.1730021,3.262554763963124,0.010713278,6.119,,1675794380174,,,4148890789419396,2.0583475,Bike
Fix,GPS,37.4273892124,-122.1731367258,3.993788549619071,0.0,14.818638,,1675794379999,1.2725238,,4148890953349000,7.9312854,Bike
Fix,GPS,37.427396483,-122.1731319999,4.001407737502871,0.0,14.498321,,1675794380999,1.3070686,,4148891953285000,8.142212,Bike
Fix,FLP,37.4273457,-122.1730022,3.318925027444095,0.0072713005,6.414,,1675794381259,,,4148891874675866,2.0685499,Bike
Fix,GPS,37.427397908,-122.1731245679,4.156530424750509,0.0,14.496579,,1675794381999,1.3548273,,4148892953284000,8.361034,Bike
Fix,FLP,37.4273463,-122.1730026,2.9454790357776943,0.006551932,6.771,,1675794382344,,,4148892959922325,2.0775151,Bike
Fix,GPS,37.4273998516,-122.1731184876,4.52269826037072,0.0,11.451898,,1675794382999,0.9337092,,4148893953299000,8.591757,Bike
Fix,FLP,37.4273469,-122.1730032,3.456832435318205,0.005029462,7.07,,1675794383429,,,4148894045168907,2.0906022,Bike
Fix,GPS,37.4274012553,-122.1731105433,4.679578104623348,0.0,11.704867,,1675794383999,20.0,,4148894953307000,8.828514,Bike
Fix,FLP,37.4273474,-122.1730048,1.919845678545542,0.0055440073,7.312,,1675794383972,,,4148894587790733,2.101244,Bike
Fix,NLP,37.4274154,-122.1729814,0.1999999582767486,,17.653,,1675794385128,,,4148895743000000,1.6700926,Bike
Fix,FLP,37.4273482,-122.1730065,2.1996430243810607,0.009773602,7.422,,1675794385058,,,4148895673034264,1.9982947,Bike
Fix,GPS,37.4274044591,-122.1731018204,5.15602184363973,0.0,11.968289,,1675794384999,20.0,,4148895953273000,9.063921,Bike
Fix,GPS,37.4274080058,-122.1730946741,5.45386657821626,0.0,12.197054,,1675794385999,20.0,,4148896953316000,9.286094,Bike
Fix,FLP,37.4273494,-122.1730085,2.8146258529520622,0.009506512,7.839,,1675794386143,,,4148896758272423,2.0385346,Bike
Fix,GPS,37.4274108424,-122.1730910911,5.221768663857921,0.0,12.454854,,1675794386999,20.0,,4148897953343000,9.556488,Bike
Fix,FLP,37.4273499,-122.1730097,0.1999999582767486,0.010135693,7.885,,1675794387227,,,4148897843501183,2.0283573,Bike
Fix,GPS,37.4274137919,-122.1730863971,5.176435418639875,0.0,12.671375,,1675794387999,20.0,,4148898953604000,9.843963,Bike
Fix,FLP,37.4273504,-122.173011,0.1999999582767486,0.01110666,7.903,,1675794388313,,,4148898928730858,2.02389,Bike
Fix,GPS,37.4274252455,-122.1730772213,5.138219302336244,0.0,18.60051,,1675794388999,20.0,,4148899953707000,10.256833,Bike
Fix,FLP,37.4273508,-122.1730123,0.1999999582767486,0.011408774,7.891,,1675794389398,,,4148900013957237,2.0211082,Bike
Fix,NLP,37.4273403,-122.1729812,0.1999999582767486,,29.571,,1675794390166,,,4148900781000000,1.6777316,Bike
Fix,FLP,37.4273511,-122.1730131,-1.5225140436616016,0.009750815,7.811,,1675794389940,,,4148900556568505,1.9102658,Bike
Fix,GPS,37.4274413652,-122.1730655078,5.246243065285128,0.0,13.166294,,1675794389999,20.0,,4148900953599000,10.5956545,Bike
Fix,FLP,37.4273509,-122.1730127,-1.558731364804416,0.007202618,7.69,,1675794390482,,,4148901097272179,1.9122359,Bike
Fix,GPS,37.4274572447,-122.1730562569,5.326746335771957,0.0,13.418245,,1675794390999,20.0,,4148901953388000,10.975962,Bike
Fix,FLP,37.4273506,-122.1730125,-3.3573297720706563,0.002577318,7.615,,1675794391026,,,4148901641790184,1.9373488,Bike
Fix,FLP,37.4273505,-122.1730128,-3.3573297720706563,0.003231507,7.555,,1675794392112,,,4148902727008446,1.9373488,Bike
Fix,GPS,37.4274652938,-122.1730478176,4.457670299432788,0.0,13.544487,,1675794391999,20.0,,4148902953673000,11.178579,Bike
Fix,FLP,37.4273506,-122.1730137,-3.426731102615591,0.0038736032,7.453,,1675794393197,,,4148903812223290,1.9409584,Bike
Fix,GPS,37.4274707328,-122.1730413345,2.992836170804479,0.0,13.71734,,1675794392999,20.0,,4148903953431000,11.430966,Bike
Fix,FLP,37.4273512,-122.1730148,-1.7337795629053403,0.00423918,7.387,,1675794393739,,,4148904354826989,1.9509584,Bike
Fix,GPS,37.4274750367,-122.1730419275,1.710453516922126,0.0,13.77977,,1675794393999,20.0,,4148904953472000,11.567122,Bike
Fix,FLP,37.4273518,-122.1730157,0.1999999582767486,0.004012205,7.4,,1675794394282,,,4148904897435326,1.9609684,Bike
Fix,NLP,37.427323,-122.1729321,0.1999999582767486,,26.934,,1675794395280,,,4148905895000000,1.9944156,Bike
Fix,FLP,37.4273529,-122.1730168,0.1999999582767486,0.00470796,7.358,,1675794394825,,,4148905440028710,1.9100807,Bike
Fix,FLP,37.4273532,-122.1730153,0.1999999582767486,0.0057373075,7.34,,1675794395340,,,4148905955000000,1.9100807,Bike
Fix,GPS,37.4274912979,-122.1730300656,-0.0050519116386952,1.0720222,13.949497,54.40135,1675794394999,0.8597083,23.358625,4148905953416000,11.629826,Bike
Fix,FLP,37.4273552,-122.1730127,2.688807395005611,0.4314438,7.298,31.411383,1675794395910,,,4148906525248375,1.9116536,Bike
Fix,GPS,37.4275085964,-122.1730248718,-1.0071019014444953,1.4229583,14.066102,44.931355,1675794395999,0.86332744,24.562847,4148906953496000,11.819434,Bike
Fix,FLP,37.4273565,-122.1730098,0.1999999582767486,0.62883365,7.263,50.835403,1675794396452,,,4148907067851342,1.9068978,Bike
Fix,FLP,37.4273572,-122.1730032,0.1999999582767486,0.73440546,7.241,104.82255,1675794396994,,,4148907610454979,1.9068978,Bike
Fix,GPS,37.4275161218,-122.173009293,-0.4051686534453093,1.4590405,14.150238,42.331062,1675794396999,1.2373029,29.001331,4148907953820000,11.948835,Bike
Fix,GPS,37.4275259016,-122.173004185,-1.0885445693647735,1.370317,14.240126,36.61407,1675794397999,1.1362119,34.2276,4148908953672000,12.1308365,Bike
Fix,FLP,37.4273506,-122.1729986,0.1999999582767486,0.8675168,7.166,157.72688,1675794398080,,,4148908695650719,1.9419832,Bike
Fix,FLP,37.4273457,-122.1729969,0.1999999582767486,1.0645875,7.127,157.13554,1675794398622,,,4148909238251732,1.9419832,Bike
Fix,GPS,37.4275332056,-122.1730056162,-1.4564756267390466,1.2412667,14.457811,36.61407,1675794398999,1.3571388,180.0,4148909953587000,12.298474,Bike
Fix,FLP,37.4273444,-122.1729955,4.157477082495731,1.0868083,7.086,144.16757,1675794399165,,,4148909780866967,1.9516736,Bike
Fix,NLP,37.4272624,-122.1730179,0.1999999582767486,,20.936,,1675794400313,,,4148910928000000,2.0921576,Bike
Fix,FLP,37.4273409,-122.172989,3.639636720713256,0.99945194,7.008,121.9502,1675794400251,,,4148910866066795,1.6970934,Bike
Fix,GPS,37.4275363549,-122.1730010768,-0.9996801592728376,1.1038332,14.797975,36.61407,1675794399999,1.4198145,180.0,4148910953522000,12.52375,Bike
Fix,FLP,37.4273411,-122.172983,3.639636720713256,1.029708,6.969,107.02231,1675794400793,,,4148911408667015,1.6981034,Bike
Fix,GPS,37.4275393566,-122.1729945349,-0.6495443128167285,1.0330093,15.208178,36.61407,1675794400999,1.5532862,72.71062,4148911953885000,12.775526,Bike
Fix,FLP,37.4273417,-122.1729826,2.7607201975538658,1.040292,6.964,103.858696,1675794401336,,,4148911951267113,1.7166969,Bike
Fix,GPS,37.427546618,-122.1729851208,-0.6235117049095358,1.0569532,15.599422,36.61407,1675794401999,1.4276472,74.42129,4148912953571000,12.970459,Bike
Fix,FLP,37.4273396,-122.1729739,-7.1104920272639305,1.0122378,6.997,114.46732,1675794402420,,,4148913036464623,1.8141435,Bike
Fix,FLP,37.4273379,-122.1729698,-7.1104920272639305,1.0205466,7.061,119.4028,1675794402964,,,4148913579062035,1.8141435,Bike
Fix,GPS,37.4275526761,-122.1729749672,-0.6271881111712941,1.0682957,16.076015,36.61407,1675794402999,1.4059329,151.89394,4148913953636000,13.231157,Bike
Fix,FLP,37.4273376,-122.1729689,-27.68133238586661,1.0227679,7.096,118.93805,1675794403482,,,4148914097272179,1.9399644,Bike
Fix,GPS,37.4275633526,-122.1729570363,-0.1165733157934922,1.1867505,16.470419,36.61407,1675794403999,1.1742203,68.675385,4148914953912000,13.516339,Bike
Fix,FLP,37.4273362,-122.1729632,-27.92085694724264,0.9703218,7.153,104.47001,1675794404049,,,4148914664257103,1.7528156,Bike
Fix,FLP,37.4273356,-122.1729595,-27.92085694724264,1.0142902,7.137,91.970184,1675794404591,,,4148915206857384,1.7528156,Bike
Fix,NLP,37.4273195,-122.1730023,0.1999999582767486,,17.223,,1675794405330,,,4148915946000000,1.4943374,Bike
Fix,FLP,37.4273361,-122.1729558,-10.70266223116674,1.0442755,7.146,79.1859,1675794405134,,,4148915749438683,1.8958768,Bike
Fix,GPS,37.4275808349,-122.1729330668,-0.470144198750921,1.3920646,16.881676,63.782547,1675794404999,1.2302907,30.695696,4148915953705000,13.847826,Bike
Fix,FLP,37.4273359,-122.1729531,0.1999999582767486,1.1633488,7.055,70.39905,1675794405677,,,4148916292049828,1.8125252,Bike
Fix,GPS,37.4275907022,-122.1729113849,-0.5020333841561968,1.4883543,17.294617,65.25059,1675794405999,1.2517167,31.836723,4148916953662000,14.082611,Bike
Fix,FLP,37.4273361,-122.17295,19.400909722686634,1.2281094,7.011,67.77938,1675794406218,,,4148916834642357,1.8473148,Bike
Fix,FLP,37.4273366,-122.1729423,19.400909722686634,1.3267899,6.848,62.450558,1675794407304,,,4148917919831078,1.8473148,Bike
Fix,GPS,37.4275969253,-122.1728829404,-0.0106246705736956,1.6104231,17.652472,77.07025,1675794406999,1.234964,30.734615,4148917953874000,14.367776,Bike
Fix,FLP,37.4273358,-122.1729363,20.41040923620031,1.4259887,6.628,58.319824,1675794408390,,,4148919005019066,1.7180749,Bike
Fix,GPS,37.427601801,-122.1728605409,0.5930464012809477,1.6432719,18.322033,77.07025,1675794407999,1.610779,19.786413,4148918953672000,14.706565,Bike
Fix,FLP,37.4273333,-122.1729336,20.41040923620031,1.4871318,6.487,56.596306,1675794408931,,,4148919547612572,1.7294201,Bike
Fix,GPS,37.4275950371,-122.1728412564,1.2528000899233322,1.6727967,18.891731,71.93076,1675794408999,1.429733,37.921352,4148919953905000,14.947815,Bike
Fix,FLP,37.4273305,-122.1729371,14.870726901504014,1.5164608,6.482,54.807747,1675794409475,,,4148920090204796,1.7447008,Bike
Fix,NLP,37.4273461,-122.1727132,0.1999999582767486,,17.823,,1675794410308,,,4148920923000000,1.7386771,Bike
Fix,FLP,37.4273314,-122.1729322,14.870726901504014,1.5212102,6.282,51.590927,1675794410017,,,4148920632787620,1.7447008,Bike
Fix,GPS,37.4274445864,-122.1728711802,7.396149011394826,1.4845583,14.870902,94.12802,1675794409999,0.8991897,20.97969,4148920953641000,14.808348,Bike
Fix,FLP,37.4273278,-122.1729258,14.50395900951095,1.5166022,6.322,49.206474,1675794411102,,,4148921717981407,1.8720906,Bike
Fix,GPS,37.4274269138,-122.1728618227,7.393261165804099,1.7446742,13.753489,90.19724,1675794410999,0.77128893,16.58527,4148921953962000,15.015645,Bike
Fix,FLP,37.4273264,-122.172915,14.85181062056776,1.5621451,6.355,49.32091,1675794412245,,,4148922860000000,1.8822713,Bike
Fix,GPS,37.4273997912,-122.1728359799,7.998265743901099,1.6425321,13.016487,107.18523,1675794411999,0.8107671,15.705385,4148922953757000,15.172052,Bike
Fix,FLP,37.427324,-122.1729063,-10.50079862871631,1.5523894,6.458,56.95699,1675794412839,,,4148923454271935,1.8902155,Bike
Fix,GPS,37.4273821943,-122.1728039868,7.534855644609577,2.3414476,12.6750555,112.81725,1675794412999,0.8251807,13.93988,4148923953703000,15.351712,Bike
Fix,FLP,37.4273201,-122.1729075,-10.210034342385882,1.5458347,6.582,62.442284,1675794413380,,,4148923996861962,1.7242808,Bike
Fix,GPS,37.4273569663,-122.1727571737,6.3280956704091,1.8720345,12.197235,109.42633,1675794413999,0.5565881,10.0,4148924953980000,15.380182,Bike
Fix,FLP,37.4273215,-122.1728952,-9.491299115202636,1.8040471,6.843,67.64805,1675794414467,,,4148925082041405,1.7362292,Bike
Fix,GPS,37.4273382312,-122.1727135877,4.686391676032005,1.9928315,11.536027,102.54802,1675794414999,0.48097596,10.0,4148925953708000,15.168182,Bike
Fix,FLP,37.4273164,-122.1728858,-4.290459512190523,1.9603467,7.69,74.08041,1675794415008,,,4148925624631310,1.7462192,Bike
Fix,NLP,37.4272071,-122.1727549,0.1999999582767486,,31.017,,1675794415278,,,4148925893000000,1.0,Bike
Fix,FLP,37.4273134,-122.1728855,-2.033566332894054,1.9531691,8.058,78.09285,1675794415552,,,4148926167209435,1.7549756,Bike
Fix,GPS,37.4273196294,-122.1726706236,3.0667841458863423,2.0931935,10.9463415,102.40318,1675794415999,0.4318246,10.0,4148926953938000,14.83287,Bike
Fix,FLP,37.4273129,-122.1728616,0.1999999582767486,1.9518611,8.813,79.125595,1675794416094,,,4148926709809532,1.5976502,Bike
Fix,GPS,37.4272982841,-122.1726315968,2.3050152623357625,2.8953083,10.29184,100.013145,1675794416999,0.42095292,10.0,4148927953757000,14.409778,Bike
Fix,FLP,37.4273069,-122.1728192,0.1999999582767486,2.0760098,10.143,93.5027,1675794417179,,,4148927794980309,1.4248915,Bike
Fix,FLP,37.4272981,-122.1727731,0.1999999582767486,2.5292146,11.056,96.88731,1675794417721,,,4148928337574364,1.4248915,Bike
Fix,GPS,37.4272816953,-122.1725846028,2.6981448431480555,2.2196863,9.562211,98.99513,1675794417999,0.43879005,10.0,4148928953880000,14.023488,Bike
Fix,FLP,37.4272922,-122.1727465,4.762534488981586,2.7283409,12.417,97.0884,1675794418265,,,4148928880151329,1.323725,Bike
Fix,FLP,37.4272847,-122.1727055,4.762534488981586,2.6132083,12.759,96.28446,1675794418807,,,4148929422747826,1.323725,Bike
Fix,GPS,37.4272743074,-122.1725441458,2.519284921481672,2.7769306,8.896262,90.765594,1675794418999,0.6764389,12.698823,4148929953835000,13.680008,Bike
Fix,FLP,37.4272814,-122.1726829,6.114757742726027,2.5018742,13.039,90.98064,1675794419350,,,4148929965338097,1.333735,Bike
Fix,NLP,37.4274346,-122.172627,0.1999999582767486,,48.37,,1675794420324,,,4148930939000000,2.1226034,Bike
Fix,FLP,37.4272783,-122.172626,10.189586349816013,2.477523,14.963,78.50258,1675794420434,,,4148931050512108,1.5795178,Bike
Fix,GPS,37.4272792392,-122.172515048,1.4804830707417471,2.694892,8.175983,52.392353,1675794419999,0.6290155,13.053387,4148930953998000,13.321292,Bike
Fix,GPS,37.4272951021,-122.1724894362,1.6185192471355765,2.7076864,7.7112675,52.392353,1675794420999,0.8680287,10.0,4148931953955000,13.085252,Bike
Fix,FLP,37.4272864,-122.1725598,10.189586349816013,2.584774,15.216,57.105564,1675794421481,,,4148932097272179,1.5808879,Bike
Fix,FLP,37.4272992,-122.1725206,19.590271017796,2.6597989,14.765,48.772903,1675794422063,,,4148932678272118,1.5919734,Bike
Fix,GPS,37.4273223563,-122.1724686248,1.7159798321683646,2.8863769,7.3930135,35.85901,1675794421999,0.7958811,11.719856,4148932953872000,12.643808,Bike
Fix,FLP,37.4273142,-122.1724893,8.31966901411279,2.7791836,13.994,44.198433,1675794422605,,,4148933220857445,1.6017755,Bike
Fix,GPS,37.4273638061,-122.1724540564,0.3591288453397887,3.256177,7.1421337,22.87978,1675794422999,0.42809013,10.0,4148933954182000,12.304871,Bike
Fix,FLP,37.4273221,-122.1724764,-6.847812042690407,2.8287244,13.373,43.81978,1675794423148,,,4148933763442772,1.615786,Bike
Fix,GPS,37.427413146,-122.1724408,-1.092441000649824,3.666232,6.669341,24.348679,1675794423999,0.40715742,10.0,4148934954207000,11.659945,Bike
Fix,FLP,37.4273497,-122.1724515,-6.847812042690407,3.04451,12.631,36.835594,1675794424233,,,4148934848613671,1.3425722,Bike
Fix,GPS,37.427462679,-122.1724163488,-3.049933160810654,4.0167093,6.3114033,24.083603,1675794424999,0.043931197,10.0,4148935953913000,11.071706,Bike
Fix,FLP,37.4273855,-122.1724283,-6.517027232760469,3.3251123,11.899,33.808895,1675794425318,,,4148935933783532,1.3526121,Bike
Fix,FLP,37.4274233,-122.172412,-6.517027232760469,3.6941555,11.127,29.461374,1675794425861,,,4148936476368309,1.3526121,Bike
Fix,GPS,37.4275118028,-122.172402627,-3.0139920954325867,4.2394457,6.0535936,15.106212,1675794425999,0.04538371,10.0,4148936954098000,10.660631,Bike
Fix,FLP,37.427442,-122.1724061,-4.237376910417126,3.8637466,10.732,26.664232,1675794426403,,,4148937018952538,1.3626021,Bike
Fix,FLP,37.4274815,-122.1723932,-4.237376910417126,4.120429,10.352,22.005014,1675794426946,,,4148937561536766,1.3626021,Bike
Fix,GPS,37.4275584174,-122.1723891233,-3.4096448816775102,4.3797097,6.026383,14.3045,1675794426999,0.49001753,10.0,4148937953980000,10.353996,Bike
Fix,FLP,37.4274955,-122.1723926,-2.3494375341195166,4.209992,9.819,18.683727,1675794427482,,,4148938097272179,1.3725822,Bike
Fix,FLP,37.4275322,-122.1723849,-2.3494375341195166,4.3223066,9.689,15.915792,1675794428027,,,4148938642000000,1.3725822,Bike
Fix,GPS,37.4276058957,-122.1723737183,-3.067413020578825,4.5097704,6.1129007,15.737727,1675794427999,0.48024562,10.0,4148938954227000,10.215801,Bike
Fix,FLP,37.4275835,-122.1723702,-1.991315149858977,4.436337,9.545,15.468956,1675794428574,,,4148939189287743,1.3826122,Bike
Fix,GPS,37.4276507916,-122.1723579018,-3.1669649564550206,4.5846024,6.243476,20.408766,1675794428999,0.48180088,10.0,4148939953946000,10.105762,Bike
Fix,FLP,37.4275992,-122.1723645,-2.839316336136904,4.455365,9.541,16.10201,1675794429116,,,4148939731871483,1.3926022,Bike
Fix,GPS,37.4276950133,-122.1723386729,-3.951101431021392,4.650076,5.9978566,20.847075,1675794429999,0.06848995,10.0,4148940953975000,9.658324,Bike
Fix,FLP,37.4276412,-122.1723474,-2.839316336136904,4.491169,9.475,17.812239,1675794430201,,,4148940817037743,1.4025822,Bike
Fix,FLP,37.4276744,-122.1723401,-2.839316336136904,4.643023,9.31,17.796776,1675794430744,,,4148941359608605,1.4025822,Bike
Fix,GPS,37.4277400771,-122.1723240333,-4.109481911971532,4.7019234,5.7532134,16.111454,1675794430999,0.041851226,10.0,4148941954308000,9.487748,Bike
Fix,FLP,37.4277047,-122.1723317,-2.839316336136904,4.6963124,9.156,17.577868,1675794431287,,,4148941902203026,1.4125822,Bike
Fix,GPS,37.4277852165,-122.172314695,-4.134918150512364,4.739962,5.5716558,9.941001,1675794431999,0.03723727,10.0,4148942954037000,9.307122,Bike
Fix,FLP,37.4277522,-122.1723154,-2.595889350568058,4.7826777,8.986,16.359825,1675794432371,,,4148942987367516,1.4225922,Bike
Fix,GPS,37.4278303916,-122.172315345,-4.792202804879203,4.7675924,5.4121723,1.4848033,1675794432999,0.030516094,10.0,4148943954229000,9.134068,Bike
Fix,FLP,37.4278025,-122.1723009,-1.8373983400571203,4.861237,8.772,14.415359,1675794433456,,,4148944072531945,1.4326621,Bike
Fix,GPS,37.4278756117,-122.1723275774,-4.918069134206957,4.8008966,5.279941,348.5902,1675794433999,0.04515775,10.0,4148944954046000,8.968351,Bike
Fix,FLP,37.4278465,-122.1722978,-1.8373983400571203,4.8274126,8.381,10.692835,1675794434000,,,4148944615110252,1.4425821,Bike
Fix,GPS,37.4279196705,-122.1723406424,-5.1922298814135095,4.8167887,5.377453,343.68176,1675794434999,0.4536378,10.0,4148945954352000,8.863371,Bike
Fix,FLP,37.4278971,-122.1723098,0.1999999582767486,4.640004,8.254,1.5933396,1675794435085,,,4148945700275719,1.4525921,Bike
Fix,FLP,37.4279202,-122.1723268,0.1999999582767486,4.6097074,8.528,353.87183,1675794435627,,,4148946242857201,1.4525921,Bike
Fix,GPS,37.4279584685,-122.1723588562,-5.376915369265443,4.793582,5.4191628,339.04034,1675794435999,0.6585834,10.0,4148946954036000,8.78459,Bike
Fix,FLP,37.4279391,-122.172337,0.1999999582767486,4.595794,8.559,349.38904,1675794436170,,,4148946785437829,1.4625821,Bike
Fix,FLP,37.4279817,-122.1723632,0.1999999582767486,4.58107,8.769,340.85797,1675794437255,,,4148947870599266,1.4625821,Bike
Fix,GPS,37.4279928002,-122.1723824029,-5.457103164257823,4.751451,5.540061,331.80682,1675794436999,0.77775145,10.217188,4148947954098000,8.728357,Bike
