Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.4278359,-122.1748372,-1.3627067527773988,0.022780491,9.433,,1675805140845,,,4159651461956658,1.9333028,Bike
Fix,GPS,37.4278545815,-122.1750044746,26.186583815539013,0.0,10.879933,,1675805141580,0.17249563,,4159652766647866,22.474234,Bike
Fix,FLP,37.4278346,-122.1748311,-1.36169882553682,0.03358903,8.82,,1675805141859,,,4159652474776543,1.9700516,Bike
Fix,GPS,37.4278482828,-122.1750019881,24.130569648864288,0.0,8.446234,,1675805142580,0.21514061,,4159653760017048,17.59806,Bike
Fix,FLP,37.427839,-122.174888,-1.3218856034415438,0.1127761,8.357,272.15958,1675805143145,0.21514061,,4159653760017048,1.9798303,Bike
Fix,NLP,37.4279456,-122.1747923,3.1000001430511475,,23.594,,1675805144430,,,4159655045000000,3.1456666,Bike
Fix,FLP,37.4278421,-122.1749287,-1.2619134339171296,0.22246559,8.132,272.24274,1675805144430,0.21514061,,4159655045000000,1.9534969,Bike
Fix,GPS,37.4278518595,-122.1749850713,30.21505970090648,0.0,6.493367,,1675805143999,0.22768109,,4159655166297159,13.487703,Bike
Fix,FLP,37.4278458,-122.1749505,-1.2049646774202785,0.3038284,7.804,273.5111,1675805144551,0.22768109,,4159655166297159,1.955637,Bike
Fix,GPS,37.4278462012,-122.1749755314,31.743311557140583,0.0,6.0453396,,1675805144999,0.21927446,,4159656188871094,12.314914,Bike
Fix,FLP,37.427846,-122.1749637,-1.1757341932290046,0.40842262,7.511,272.81802,1675805145573,0.21927446,,4159656188871094,1.9660469,Bike
Fix,GPS,37.4278409104,-122.1749677641,32.70709412280112,0.0,5.731819,,1675805145999,0.21535796,,4159657114517000,11.422105,Bike
Fix,FLP,37.4278436,-122.1749679,-1.324190646882414,0.40800208,7.113,265.2874,1675805146499,0.21535796,,4159657114517000,2.0044072,Bike
Fix,GPS,37.4278434105,-122.1749663265,33.54146046440208,0.0,5.598642,,1675805146999,20.0,,4159658114505000,10.739207,Bike
Fix,FLP,37.4278434,-122.1749691,-1.3342700328500283,0.33854088,6.793,264.53088,1675805147499,20.0,,4159658114505000,2.014099,Bike
Fix,GPS,37.4278391095,-122.1749650995,33.49213894607966,0.0,5.740396,,1675805147999,0.27740964,,4159659114555000,10.6060505,Bike
Fix,FLP,37.4278417,-122.1749679,-1.3977698880880212,0.23462567,6.236,251.60223,1675805148498,0.27740964,,4159659114555000,2.0246468,Bike
Fix,FLP,37.4278404,-122.1749146,-1.3977698880880212,0.63954735,6.138,90.11573,1675805149342,,,4159659957936701,2.0246468,Bike
Fix,GPS,37.4278406173,-122.1749638804,33.08758577504138,0.0,5.9551644,,1675805148999,0.31736764,,4159660114699000,10.485439,Bike
Fix,GPS,37.427840337,-122.1749637063,33.123889274843776,0.0,6.118718,,1675805149999,0.36334372,,4159661114834000,10.422697,Bike
Fix,FLP,37.4278396,-122.1748597,-11.546574292591202,0.52501327,5.804,90.01068,1675805150428,,,4159661043115900,2.0446167,Bike
Fix,NLP,37.427857,-122.1748862,3.400000095367432,,24.422,,1675805150979,,,4159661595000000,7.731088,Bike
Fix,FLP,37.4278392,-122.1748392,-11.889995930497705,0.32871717,5.846,90.00651,1675805150969,,,4159661585718012,1.9876537,Bike
Fix,GPS,37.4278392204,-122.1749635028,33.14993700480981,0.0,6.167314,,1675805150999,0.357144,,4159662114596000,10.28166,Bike
Fix,FLP,37.427839,-122.1748305,-11.952273143462987,0.26959878,5.932,90.00353,1675805151513,,,4159662128294611,2.0370815,Bike
Fix,GPS,37.4278427108,-122.174960914,32.561053602658184,0.0,6.289706,,1675805151999,0.3455142,,4159663114839000,10.138079,Bike
Fix,FLP,37.4278389,-122.1748268,-9.190518714693567,0.16895653,6.036,90.00016,1675805152598,,,4159663213482415,2.0471013,Bike
Fix,FLP,37.4278384,-122.1748226,-9.190518714693567,0.12052159,6.052,90.00006,1675805153141,,,4159663756074579,2.0471013,Bike
Fix,GPS,37.4278449932,-122.1749612309,32.354318044431466,0.0,6.430631,,1675805152999,0.36337408,,4159664114634000,10.034516,Bike
Fix,FLP,37.427838,-122.1748207,-4.403891770174226,0.086619765,6.165,,1675805153682,,,4159664298662958,2.0498776,Bike
Fix,NLP,37.4278543,-122.1748613,-0.3999999463558197,,28.938,,1675805154499,,,4159665114000000,5.33678,Bike
Fix,FLP,37.4278377,-122.1748196,-0.3999999463558197,0.053533185,6.296,,1675805154226,,,4159664841251642,3.293242,Bike
Fix,GPS,37.427845161,-122.1749598849,31.69910680756538,0.0,6.6116343,,1675805153999,0.39336643,,4159665114632000,10.017002,Bike
Fix,FLP,37.4278374,-122.1748202,-0.3999999463558197,0.018595645,6.433,,1675805154752,,,4159665367795160,2.4116645,Bike
Fix,FLP,37.4278377,-122.1748206,-0.3999999463558197,0.0019182067,6.506,,1675805155311,,,4159665926426141,2.4116645,Bike
Fix,GPS,37.4278445338,-122.1749606886,31.251698215666803,0.0,6.6795487,,1675805154999,0.38555092,,4159666114659000,9.952629,Bike
Fix,GPS,37.4278435828,-122.1749635452,30.882073043300032,0.0,6.7989864,,1675805155999,0.44455385,,4159667114673000,9.9334135,Bike
Fix,FLP,37.4278382,-122.1748221,3.1000001430511475,0.0015626169,6.92,,1675805156396,,,4159667011594294,2.6907487,Bike
Fix,FLP,37.4278385,-122.1748241,3.1000001430511475,0.0025826623,7.043,,1675805157476,,,4159668091000000,2.6907487,Bike
Fix,GPS,37.4278423458,-122.1749666191,30.19986797444924,0.0,6.750736,,1675805156999,0.37043938,,4159668114678000,9.802099,Bike
