Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,NLP,37.4430699,-122.1701356,-10.0,,25.324,,1675806262231,,,4160772846000000,1.052938,Bike
Fix,GPS,37.4427248098,-122.170373559,7.455719454050745,,5.526123,,1675806272207,,,4160783280670789,21.08597,Bike
Fix,FLP,37.442725,-122.1703731,-10.0,1.0054495,5.526,249.87251,1675806272665,,,4160783280670789,1.1898353,Bike
Fix,GPS,37.4427630775,-122.170285272,3.807760883110791,0.0,3.8283236,,1675806273207,0.5014859,,4160784336277398,37.027832,Bike
Fix,FLP,37.4427527,-122.1703102,-10.0,1.9837065,4.713,58.34938,1675806273721,0.5014859,,4160784336277398,1.1565363,Bike
Fix,GPS,37.4427711853,-122.170297657,7.451846983150327,0.0,7.445789,,1675806274207,0.39369872,,4160785368900201,81.991196,Bike
Fix,FLP,37.4427683,-122.1702858,-10.0,2.213894,5.193,53.739693,1675806274753,0.39369872,,4160785368900201,1.272811,Bike
Fix,GPS,37.4427768855,-122.1702972296,10.313258517878008,0.0,7.322546,,1675806275207,0.4048895,,4160786401348891,15.351839,Bike
Fix,FLP,37.4427785,-122.1702824,-10.0,1.7304237,5.619,44.657677,1675806275786,0.4048895,,4160786401348891,1.2999241,Bike
Fix,GPS,37.4427615996,-122.170286294,10.834428820235011,0.0,3.553794,,1675806276206,0.36505684,,4160787398847061,16.14866,Bike
Fix,FLP,37.442769,-122.1702817,-10.0,1.0212346,5.332,58.308086,1675806276782,0.36505684,,4160787398847061,1.3173229,Bike
Fix,NLP,37.4428169,-122.1705084,-10.0,,28.943,,1675806277781,,,4160788396000000,1.3624653,Bike
Fix,FLP,37.4427735,-122.1702721,-10.0,1.0113678,12.49,58.45779,1675806277780,0.36505684,,4160788396000000,1.080861,Bike
Fix,GPS,37.4427544292,-122.1702945849,8.86978071576044,0.0,5.218051,,1675806277206,0.2926142,,4160788379311254,12.334821,Bike
Fix,FLP,37.4427423,-122.1702948,-10.0,0.12902789,10.311,148.65698,1675806278562,,,4160789177248896,1.0795853,Bike
Fix,GPS,37.4427580111,-122.1702981019,8.360881035825898,0.0,5.218058,,1675806278206,20.0,,4160789402815161,11.1725025,Bike
Fix,FLP,37.442722,-122.170301,-12.109440496198374,0.055943232,10.231,,1675806279146,,,4160789762307245,1.2250723,Bike
Fix,GPS,37.4427703372,-122.1702958604,8.542720143001699,0.0,5.21807,,1675806279999,0.3144309,,4160791200146053,9.854339,Bike
Fix,FLP,37.4427163,-122.1703015,-13.151358956519772,0.051435106,10.002,,1675806280232,,,4160790847426691,1.3473189,Bike
Fix,FLP,37.4427127,-122.1703004,-13.151358956519772,0.017025355,9.765,,1675806281316,,,4160791932548273,1.3473189,Bike
Fix,GPS,37.4427756863,-122.1703001111,9.097973394967347,0.0,5.218076,,1675806280999,0.30481657,,4160792204062883,9.442733,Bike
Fix,GPS,37.4427763686,-122.1703015215,8.992670155236242,0.0,5.218082,,1675806281999,0.30690506,,4160793131193000,9.090392,Bike
Fix,FLP,37.4427095,-122.1702981,-13.487615317744954,0.010689606,9.423,,1675806282402,,,4160793017670038,1.4485254,Bike
Fix,GPS,37.4427747437,-122.1703052672,7.548826304895897,0.0,5.218087,,1675806282999,0.30494654,,4160794131274000,8.573542,Bike
Fix,FLP,37.4427085,-122.1702964,-15.344773615305884,0.010012606,5.336,,1675806283486,,,4160794102788873,1.4470135,Bike
Fix,NLP,37.4430205,-122.1702217,-10.0,,31.383,,1675806283720,,,4160794335000000,1.8309314,Bike
Fix,FLP,37.4427105,-122.170295,-15.344773615305884,0.0130919395,5.124,,1675806284030,,,4160794645353449,1.4230986,Bike
Fix,GPS,37.4427743204,-122.1703071486,6.134293498251895,0.0,4.943203,,1675806283999,0.29731518,,4160795131215000,8.144942,Bike
Fix,FLP,37.4427117,-122.1702943,-15.021019913554497,0.01846737,5.188,,1675806284562,,,4160795177248896,1.6000907,Bike
Fix,GPS,37.4427780508,-122.1703082281,5.425760576490632,0.0,4.896949,,1675806284999,0.28035936,,4160796131265000,7.8569217,Bike
Fix,FLP,37.4427137,-122.1702905,-7.516233497383894,0.037566714,5.232,,1675806285658,,,4160796273032831,1.4045595,Bike
Fix,GPS,37.442779691,-122.1703097786,4.866055210109673,0.0,5.2181025,,1675806285999,0.3163944,,4160797131244000,7.644292,Bike
Fix,FLP,37.4427158,-122.1702886,-10.0,0.030036816,5.32,,1675806286200,,,4160796815593195,1.3704562,Bike
Fix,FLP,37.4427167,-122.1702846,-10.0,0.03108675,5.402,,1675806287284,,,4160797900710871,1.3704562,Bike
