Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,GPS,37.4212894263,-122.1586160442,5.80285797287318,0.0,47.85984,,1677171233130,1.271111,,606030778892738,77.61821,Bike
Fix,FLP,37.4214464,-122.1587458,-5.493575503329204,0.08200857,14.308,,1677171235420,,,606030778892738,1.7659377,Bike
Fix,NLP,37.4215432,-122.1586833,-7.999999523162842,,14.375,,1677171237331,,,606032688000000,1.8612884,Bike
Fix,FLP,37.4214453,-122.1587436,-5.338963850799477,0.022233365,19.558,,1677171237331,,,606032688000000,1.7919555,Bike
Fix,FLP,37.421444,-122.1587407,-5.183628863259425,0.027997188,27.88,,1677171238467,,,606033824256552,1.7964239,Bike
Fix,FLP,37.4214433,-122.1587387,-5.183628863259425,0.041588064,32.315,,1677171239009,,,606034366779562,1.7964239,Bike
Fix,FLP,37.4214425,-122.1587365,-7.999999523162842,0.059586026,36.77,,1677171239551,,,606034909302511,1.8144484,Bike
Fix,FLP,37.4214416,-122.1587339,-7.999999523162842,0.08267219,41.18,,1677171240094,,,606035451826193,1.8144484,Bike
Fix,FLP,37.4214405,-122.1587306,-2.537417932277574,0.11307824,48.776,108.2228,1677171240603,,,606035961265036,1.8076435,Bike
Fix,FLP,37.4214395,-122.1587276,-2.537417932277574,0.14566174,53.516,108.92377,1677171241179,,,606036536870687,1.8076435,Bike
Fix,FLP,37.4214383,-122.1587234,-7.999999523162842,0.18389781,58.268,109.372574,1677171242270,,,606037627000000,1.7727557,Bike
Fix,NLP,37.4216633,-122.1587622,-8.5,,28.202,,1677171242339,,,606037696000000,1.6913548,Bike
Fix,FLP,37.4214704,-122.1587163,-8.5,0.51365083,54.499,27.646267,1677171242807,,,606038164443563,1.928013,Bike
Fix,FLP,37.4215002,-122.1587139,-8.5,0.91079754,50.818,14.974672,1677171243892,,,606039249489279,1.9413396,Bike
Fix,FLP,37.4215245,-122.1587131,-8.5,1.2085563,45.775,10.420598,1677171244435,,,606039792011678,1.9413396,Bike
Fix,FLP,37.4215407,-122.158714,-13.349530313440557,1.406711,43.664,7.888676,1677171244977,,,606040334524373,1.9345021,Bike
Fix,GPS,37.4216135936,-122.1588572788,-7.822093521564675,0.0,12.611462,,1677171243130,0.8348889,,606040839091921,17.142345,Bike
Fix,FLP,37.4215518,-122.1587152,-13.349530313440557,1.5416117,40.244,6.3063655,1677171245520,,,606040877055868,1.9135318,Bike
Fix,GPS,37.4217072102,-122.1588055623,-1.5161511905968847,0.0,15.712145,,1677171244130,0.8727244,,606041846613772,19.711227,Bike
Fix,FLP,37.4215558,-122.1587214,-10.981204994146085,0.5628946,33.229,0.0020712335,1677171246062,,,606041419574667,1.9779716,Bike
Fix,FLP,37.4215604,-122.1587244,-10.981204994146085,0.34352106,32.41,0.00020889184,1677171246604,,,606041961265036,1.9779716,Bike
Fix,FLP,37.421566,-122.1587266,-10.981204994146085,0.2184263,31.775,359.96603,1677171247147,,,606042504618124,1.9779716,Bike
Fix,NLP,37.4217099,-122.1586391,-9.200000762939451,,25.346,,1677171247385,,,606042742000000,1.145023,Bike
Fix,GPS,37.4217194307,-122.1587835633,0.5344016729032863,0.0,37.895416,,1677171245130,0.9537395,,606042845151737,41.16695,Bike
Fix,FLP,37.4215894,-122.1587269,-9.200000762939451,0.037910506,25.29,,1677171247690,,,606043047138143,1.7675859,Bike
Fix,FLP,37.4215983,-122.1587228,-9.200000762939451,0.004297286,24.88,,1677171248232,,,606043589657675,1.7675859,Bike
Fix,GPS,37.421702394,-122.1587658264,-1.0125830045258664,0.0,19.108952,,1677171246130,0.8041735,,606043867169803,22.183191,Bike
Fix,FLP,37.4216115,-122.1587164,-4.799999713897705,0.007038066,24.116,,1677171248775,,,606044132169271,1.6455767,Bike
Fix,FLP,37.4216169,-122.1587128,-4.799999713897705,0.0099449465,23.692,,1677171249317,,,606044674696859,1.6455767,Bike
Fix,GPS,37.4216624208,-122.1587360091,-2.145203596829905,0.0,13.501435,,1677171247130,0.76411504,,606044870623092,16.250578,Bike
Fix,FLP,37.4216254,-122.1587066,-5.888415728369505,0.012069028,22.937,,1677171249859,,,606045217213583,1.7194197,Bike
Fix,FLP,37.4216287,-122.158703,-5.888415728369505,0.013494026,22.421,,1677171250402,,,606045759719381,1.7194197,Bike
Fix,GPS,37.4216643473,-122.158698829,-3.5802947305323976,0.0,12.721119,,1677171248130,0.68629575,,606045857952601,18.899292,Bike
Fix,FLP,37.4216338,-122.1586966,-5.994250026958493,0.013473562,21.28,,1677171250945,,,606046302248739,1.663284,Bike
Fix,FLP,37.4216355,-122.1586928,-5.994250026958493,0.01355411,21.098,,1677171251466,,,606046823000000,1.663284,Bike
Fix,GPS,37.421654805,-122.1586935314,-3.443491870917918,0.0,43.80846,,1677171249130,0.87903446,,606046841645594,65.96772,Bike
Fix,FLP,37.4216379,-122.158686,-5.843533623380591,0.011724333,20.278,,1677171252030,,,606047387271871,1.6161675,Bike
Fix,NLP,37.4215806,-122.1586407,-8.40000057220459,,14.474,,1677171252445,,,606047802000000,2.034065,Bike
Fix,FLP,37.4216391,-122.1586796,-4.573924213180085,0.00941049,19.434,,1677171252571,,,606047929798055,1.691792,Bike
Fix,GPS,37.4216472102,-122.1586824448,-3.6189005140412656,0.0,30.431952,,1677171250119,0.9722922,,606047883649501,55.05902,Bike
Fix,FLP,37.4216318,-122.1586676,-4.573924213180085,0.011346833,18.187,,1677171253114,,,606048472313925,1.6750869,Bike
Fix,GPS,37.4215631499,-122.1586649268,-15.325613921191463,0.0,28.325459,,1677171251119,20.0,,606048879085740,30.327538,Bike
Fix,FLP,37.4216161,-122.1586519,-8.40000057220459,0.029284272,16.871,,1677171254200,,,606049557343954,1.7195364,Bike
Fix,GPS,37.4215611254,-122.1586412467,-12.331568740714872,0.0,21.851107,,1677171252119,20.0,,606049872129320,21.537636,Bike
Fix,FLP,37.4216054,-122.1586468,-4.083417598320306,0.040053558,15.816,,1677171255285,,,606050642372457,1.7416672,Bike
Fix,GPS,37.4215687125,-122.1586638712,-9.502028551474591,0.0,17.414387,,1677171253999,0.49813882,,606051665122000,16.041979,Bike
Fix,FLP,37.4215985,-122.1586452,-4.289351472807798,0.05309143,14.978,,1677171256370,,,606051727399374,1.7957501,Bike
Fix,GPS,37.4215614343,-122.1586743404,-8.61626536233805,0.0,15.404695,,1677171254999,20.0,,606052665172000,14.595796,Bike
Fix,FLP,37.4215918,-122.1586438,-8.40000057220459,0.06116839,13.938,,1677171257455,,,606052812425192,2.0195544,Bike
Fix,NLP,37.4215852,-122.1586279,-8.40000057220459,,13.591,,1677171257418,,,606052775000000,1.4587585,Bike
Fix,GPS,37.4215553644,-122.1586718313,-7.53618774754636,0.0,13.850044,,1677171255999,20.0,,606053665182000,13.406291,Bike
Fix,FLP,37.421582,-122.1586394,-8.40000057220459,0.09187393,12.154,,1677171257997,,,606053354937582,1.9467341,Bike
Fix,GPS,37.4215560301,-122.1586637861,-7.051165459295735,0.0,13.456527,,1677171256999,20.0,,606054665183000,12.780888,Bike
Fix,FLP,37.4215782,-122.1586367,-8.40000057220459,0.06687883,11.877,,1677171259082,,,606054439952047,1.8756175,Bike
Fix,GPS,37.4215581546,-122.1586626521,-6.889514009976489,0.0,13.3577175,,1677171257999,0.73749334,,606055665215000,12.327356,Bike
Fix,FLP,37.4215758,-122.1586344,-8.40000057220459,0.043264244,11.615,,1677171260167,,,606055524985250,1.793403,Bike
Fix,GPS,37.4215611706,-122.1586579003,-7.308322520127862,0.0,12.989498,,1677171258999,0.5666823,,606056665465000,11.82863,Bike
Fix,FLP,37.4215747,-122.1586324,-8.40000057220459,0.025055274,11.157,,1677171261253,,,606056610007223,1.6491226,Bike
Fix,GPS,37.421563114,-122.1586539197,-7.667511171026945,0.0,14.2487,,1677171259999,0.88362736,,606057665537000,11.248151,Bike
Fix,FLP,37.4215743,-122.1586307,-8.40000057220459,0.013063147,10.634,,1677171262338,,,606057695031087,1.6351217,Bike
Fix,NLP,37.4215947,-122.1586248,-8.40000057220459,,12.799,,1677171262441,,,606057798000000,2.0286455,Bike
Fix,GPS,37.4215660474,-122.1586527218,-8.132799008724154,0.0,26.238323,,1677171260999,1.5539762,,606058665244000,10.977533,Bike
