Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,NLP,37.3880076,-122.0850032,0.4000000059604645,,23.941,,1675957977048,,,4312487663000000,1.6155182,Car
Fix,FLP,37.3880037,-122.0850329,0.4000000059604645,2.5283134,23.941,77.73515,1675957977048,,,4312487663000000,2.4340794,Car
Fix,NLP,37.3881909,-122.0848664,-0.3999999463558197,,25.832,,1675957982050,,,4312492665000000,1.4865409,Car
Fix,FLP,37.3881401,-122.0848747,-0.3999999463558197,3.199894,25.832,55.46447,1675957982050,,,4312492665000000,1.917081,Car
Fix,NLP,37.3883842,-122.0850331,-0.5000001192092896,,20.434,,1675957987061,,,4312497676000000,1.3822705,Car
Fix,FLP,37.38835,-122.0849682,-0.5000001192092896,3.1576476,20.434,13.629948,1675957987060,,,4312497676000000,1.7019562,Car
Fix,NLP,37.3884259,-122.0850587,-0.5000001192092896,,33.995,,1675957991974,,,4312502589000000,2.9053152,Car
Fix,FLP,37.3884347,-122.0850394,-0.5000001192092896,2.2972672,27.214,331.85522,1675957991974,,,4312502589000000,2.0183952,Car
Fix,NLP,37.3884906,-122.0855382,-2.5999999046325684,,23.527,,1675957997114,,,4312507729000000,2.4184394,Car
Fix,FLP,37.3884925,-122.0855165,-0.5000001192092896,6.9226117,23.527,281.70605,1675957997114,,,4312507729000000,2.0796208,Car
Fix,NLP,37.3885465,-122.0855402,-3.299999713897705,,18.385,,1675958002158,,,4312512773000000,4.140357,Car
Fix,FLP,37.3885469,-122.0855537,-0.5000001192092896,1.8845483,18.385,310.51804,1675958002158,,,4312512773000000,2.1016371,Car
Fix,NLP,37.3885965,-122.0855495,-2.299999713897705,,12.657,,1675958007179,,,4312517795000000,1.193655,Car
Fix,FLP,37.3885966,-122.0855512,-0.0113855942704077,1.1180134,12.657,354.68445,1675958007180,,,4312517795000000,1.9617777,Car
Fix,NLP,37.3886168,-122.0855306,-2.299999713897705,,13.674,,1675958012143,,,4312522758000000,1.0317634,Car
Fix,FLP,37.3886176,-122.0855313,0.6013133954371312,0.60614663,13.165,32.241955,1675958012143,,,4312522758000000,1.9345229,Car
Fix,NLP,37.3884067,-122.0856458,-0.5000001192092896,,11.641,,1675958017254,,,4312527869000000,1.0,Car
Fix,FLP,37.3884263,-122.0856349,-0.5000001192092896,7.8779917,12.657,203.4701,1675958017254,,,4312527869000000,1.7987446,Car
Fix,NLP,37.3882682,-122.0858093,-1.5000001192092896,,14.941,,1675958022218,,,4312532833000000,1.0,Car
Fix,FLP,37.3882484,-122.0858095,-0.5000001192092896,5.664738,13.291,213.34045,1675958022217,,,4312532833000000,1.6055981,Car
Fix,GPS,37.3880933084,-122.0856939444,-1.11e-14,0.0,5.4635744,,1675958020086,2.4978862,,4312533725996402,58.883793,Car
Fix,FLP,37.388207,-122.0858368,-0.5000001192092896,5.683294,96.0,212.46857,1675958023109,2.4978862,,4312533725996402,1.611234,Car
Fix,GPS,37.3880658717,-122.0856791819,-7.7e-15,0.0,2.2996993,,1675958021086,2.4981556,,4312534697082462,66.25632,Car
Fix,FLP,37.3881612,-122.0858629,-0.5000001192092896,5.686327,96.0,211.1533,1675958024082,2.4981556,,4312534697082462,1.6207252,Car
Fix,GPS,37.3880365458,-122.085705304,-0.2513450252645044,3.8734179,17.213924,217.91121,1675958022353,1.2620184,180.0,4312535709187606,134.82622,Car
Fix,FLP,37.388071,-122.0857769,-0.5000001192092896,5.6445184,17.214,193.7411,1675958025093,1.2620184,180.0,4312535709187606,1.6288055,Car
Fix,GPS,37.3880218559,-122.0857286628,-0.3563030409036544,0.0,12.81637,,1675958023383,1.2107725,,4312536725557764,113.97252,Car
Fix,FLP,37.3880215,-122.0857532,-0.5000001192092896,5.5312853,15.015,188.38492,1675958026110,1.2107725,,4312536725557764,1.6387955,Car
Fix,GPS,37.3880193064,-122.0857449643,0.611219430260929,0.0,8.091529,,1675958024400,1.0213038,,4312537719371608,75.70526,Car
Fix,FLP,37.3880051,-122.0857502,-1.5000001192092896,4.8922114,12.707,187.29385,1675958027104,1.0213038,,4312537719371608,1.6487856,Car
Fix,NLP,37.3881689,-122.0861444,-1.399999976158142,,34.248,,1675958027251,,,4312537866000000,1.0,Car
Fix,FLP,37.3880055,-122.0857492,-1.399999976158142,4.7482166,12.03,187.09764,1675958027251,1.0213038,,4312537866000000,1.4999568,Car
Fix,GPS,37.3880112013,-122.085765891,0.9126665447653286,0.0,11.131903,,1675958025382,1.0379486,,4312538745227931,108.75841,Car
Fix,FLP,37.3879821,-122.0857585,-1.399999976158142,4.393933,11.85,188.66039,1675958028130,1.0379486,,4312538745227931,1.5074301,Car
Fix,GPS,37.3880017067,-122.0857958697,2.3334034363771075,3.2766685,43.885376,265.80313,1675958026302,0.5722482,180.0,4312539742433498,15.9823065,Car
Fix,FLP,37.387948,-122.0858063,-1.399999976158142,4.958911,17.189,214.14319,1675958029127,0.5722482,180.0,4312539742433498,1.1643906,Car
Fix,GPS,37.3881192829,-122.0861726074,1.840333370366563,3.8003073,14.087566,278.21304,1675958027302,0.3536354,10.0,4312540731617622,15.635445,Car
Fix,FLP,37.3880296,-122.0859272,-1.399999976158142,3.747697,16.668,274.46216,1675958030115,0.3536354,10.0,4312540731617622,1.52696,Car
Fix,GPS,37.3881252477,-122.0862274737,-0.1710678710538191,3.896645,9.932536,281.96323,1675958028302,0.40584126,10.0,4312541778188830,13.401781,Car
Fix,FLP,37.3880702,-122.0860653,-0.5000001192092896,3.8816748,16.188,279.83517,1675958031163,0.40584126,10.0,4312541778188830,1.1908184,Car
Fix,NLP,37.3880838,-122.08614,-1.399999976158142,,22.613,,1675958031551,,,4312542167000000,1.0,Car
Fix,FLP,37.3880809,-122.0861039,0.2726428661464268,3.8933985,16.016,280.034,1675958031551,0.40584126,10.0,4312542167000000,1.1195842,Car
Fix,FLP,37.3881022,-122.0861678,1.104458137156982,4.0071363,15.016,284.13452,1675958031840,0.41674742,10.0,4312542455071968,1.595988,Car
Fix,GPS,37.3881481887,-122.0863156346,0.7765076277927933,4.9506006,7.381221,295.08133,1675958029999,0.4289548,10.0,4312543497121448,11.346244,Car
Fix,FLP,37.3881271,-122.0862529,-1.399999976158142,4.681677,15.632,291.3183,1675958032882,0.4289548,10.0,4312543497121448,1.1209099,Car
Fix,GPS,37.3881740642,-122.0863756171,0.5680059876448158,5.518593,6.8511558,300.24237,1675958030999,0.34609744,10.0,4312544502072417,10.79869,Car
Fix,FLP,37.3881566,-122.0863317,-1.399999976158142,5.259325,15.02,296.90692,1675958033887,0.34609744,10.0,4312544502072417,1.0898083,Car
Fix,GPS,37.3881990065,-122.0864392202,0.7713935578086496,5.1074295,6.621031,287.6516,1675958031999,0.3758188,10.0,4312545430582000,10.624333,Car
Fix,FLP,37.388184,-122.0864037,-1.399999976158142,5.199556,9.697,290.85526,1675958034814,0.3758188,10.0,4312545430582000,1.183448,Car
Fix,NLP,37.3882431,-122.0862923,-1.5000001192092896,,41.57,,1675958035543,,,4312546158000000,1.0,Car
