Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.3860478,-122.0838001,-5.241548437237888,0.0,4.446,,1677973380764,0.017089961,,1408189815000000,0.9259126,Car
Fix,GPS,37.3860477893,-122.083800117,1.9595384682179025,0.0,3.9390209,204.43593,1677973381000,0.01722627,66.35125,1408190730949000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.538774962138547,0.0,4.277,,1677973381679,0.01722627,,1408190730949000,0.98297447,Car
Fix,GPS,37.3860477893,-122.083800117,2.1118856975325286,0.0,3.9390433,204.43593,1677973382000,0.018084105,180.0,1408191730955000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.869241754750803,0.0,4.192,,1677973382679,0.018084105,,1408191730955000,0.9439051,Car
Fix,GPS,37.3860477893,-122.083800117,2.2431171674170023,0.0,3.9390657,204.43593,1677973383000,0.016256215,180.0,1408192730966000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.699405945543951,0.0,4.108,,1677973383679,0.016256215,,1408192730966000,1.0029261,Car
Fix,GPS,37.3860477893,-122.083800117,2.5174404893736737,0.0,4.448516,204.43593,1677973384000,0.019689387,178.992,1408193731018000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.824225366589275,0.0,4.129,,1677973384680,0.019689387,,1408193731018000,0.9595287,Car
Fix,GPS,37.3860477893,-122.083800117,2.7404930667401586,0.0,3.7902312,204.43593,1677973385000,0.020424007,180.0,1408194731071000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.4732939402876255,0.0,4.165,,1677973385680,0.020424007,,1408194731071000,0.97766906,Car
Fix,NLP,37.3864016,-122.0841992,4.800000190734863,,37.171,,1677973385706,,,1408194757000000,7.5800557,Car
Fix,FLP,37.3860478,-122.0838001,-5.563841781563752,0.0,4.076,,1677973386680,0.023402948,,1408195731041000,0.9358994,Car
Fix,GPS,37.3860477893,-122.083800117,2.9961428202292213,0.0,3.7901638,204.43593,1677973386000,0.023402948,180.0,1408195731041000,3.0,Car
Fix,GPS,37.3860477893,-122.083800117,3.21512658360669,0.0,3.871602,204.43593,1677973387000,0.019978574,180.0,1408196731072000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.606813299073444,0.0,4.072,,1677973387680,0.019978574,,1408196731072000,1.0011555,Car
Fix,GPS,37.3860477893,-122.083800117,3.423776555888685,0.0,3.8716388,204.43593,1677973388000,0.01997275,180.0,1408197731083000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.746980778305719,0.0,4.084,,1677973388680,0.01997275,,1408197731083000,0.9501469,Car
Fix,GPS,37.3860477893,-122.083800117,3.653413680224592,0.0,3.7899613,204.43593,1677973389000,0.30734286,146.53,1408198731295000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.774604751881036,0.0,4.015,,1677973389681,0.30734286,,1408198731295000,0.9680732,Car
Fix,GPS,37.3860477893,-122.083800117,3.94427157362654,0.0,4.1642184,204.43593,1677973390000,0.3376285,148.40167,1408199731154000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.779720292636206,0.0,4.0,,1677973390680,0.3376285,,1408199731154000,1.0232817,Car
Fix,NLP,37.386198,-122.0837476,-0.6999999284744263,,56.032,,1677973390807,,,1408199858000000,3.5195537,Car
Fix,FLP,37.3860478,-122.0838001,-5.775627860279542,0.0,4.262,,1677973390807,0.3376285,,1408199858000000,0.9360222,Car
Fix,GPS,37.3860477893,-122.083800117,4.222011387481008,0.0,3.7898266,204.43593,1677973391000,0.32089996,76.69537,1408200731108000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.763862106216479,0.0,4.262,,1677973391680,0.32089996,,1408200731108000,0.9403138,Car
Fix,GPS,37.3860477893,-122.083800117,4.4138258105831385,0.0,3.9392743,204.43593,1677973392000,0.3271178,180.0,1408201731320000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.766419880233045,0.0,4.269,,1677973392680,0.3271178,,1408201731320000,0.99588096,Car
Fix,GPS,37.3860477893,-122.083800117,4.681526277645743,0.0,3.7896922,204.43593,1677973393000,0.3108526,180.0,1408202731116000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.777162522646108,0.0,4.222,,1677973393680,0.3108526,,1408202731116000,0.9584324,Car
Fix,GPS,37.3860477893,-122.083800117,4.949461400093405,0.0,3.7896254,204.43593,1677973394000,0.31655464,180.0,1408203731126000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.766419880233045,0.0,4.181,,1677973394680,0.31655464,,1408203731126000,0.97112274,Car
Fix,GPS,37.3860477893,-122.083800117,5.252399251340473,0.0,3.7895586,204.43593,1677973395000,0.31634775,121.41447,1408204731166000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.966435411643211,0.0,4.184,,1677973395680,0.31634775,,1408204731166000,1.025451,Car
Fix,GPS,37.3860477893,-122.083800117,5.554785572661436,0.0,3.789492,204.43593,1677973396000,0.30905023,180.0,1408205731199000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-6.001220238358101,0.0,3.913,,1677973396680,0.30905023,,1408205731199000,0.98944217,Car
Fix,NLP,37.386229,-122.083756,-0.5000001192092896,,32.562,,1677973397341,,,1408206392000000,2.334888,Car
Fix,FLP,37.3860478,-122.0838001,-5.933185075833492,0.0,5.138,,1677973397341,0.30905023,,1408206392000000,0.9324312,Car
Fix,GPS,37.3860477893,-122.083800117,5.882019200382754,0.0,4.447146,204.43593,1677973397000,0.3234156,109.72763,1408206731210000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.935742798615991,0.0,5.051,,1677973397680,0.3234156,,1408206731210000,0.9808631,Car
Fix,GPS,37.3860477893,-122.083800117,6.172836842896672,0.0,4.1631804,204.43593,1677973398000,0.3218977,86.22088,1408207731695000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.8032517402396095,0.0,5.466,,1677973398680,0.3218977,,1408207731695000,0.9392001,Car
Fix,GPS,37.3860477893,-122.083800117,6.4756761741021664,0.0,3.9181018,204.43593,1677973399000,0.30192626,180.0,1408208731522000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.7208913870432525,0.0,5.469,,1677973399680,0.30192626,,1408208731522000,0.9567662,Car
Fix,GPS,37.3860477893,-122.083800117,6.7294114391372615,0.0,3.9520583,204.43593,1677973400000,0.30652025,180.0,1408209731247000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.710148673118752,0.0,5.478,,1677973400680,0.30652025,,1408209731247000,1.0198444,Car
Fix,NLP,37.3861897,-122.0838344,-0.5000001192092896,,48.638,,1677973400860,,,1408209911000000,4.8205037,Car
Fix,FLP,37.3860478,-122.0838001,-5.710148673118752,0.0,5.594,,1677973400860,0.30652025,,1408209911000000,0.93618125,Car
Fix,GPS,37.3860477893,-122.083800117,6.926076934782468,0.0,3.9585276,204.43593,1677973401000,0.30417055,180.0,1408210731463000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.710148673118752,0.0,5.602,,1677973401680,0.30417055,,1408210731463000,0.95235914,Car
Fix,GPS,37.3860477893,-122.083800117,7.090628462125957,0.0,4.162664,204.43593,1677973402000,0.32258785,180.0,1408211731308000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.716798926205868,0.0,4.407,,1677973402680,0.32258785,,1408211731308000,1.0158963,Car
Fix,GPS,37.3860477893,-122.083800117,7.174328419693752,0.0,4.4465137,204.43593,1677973403000,0.30204582,180.0,1408212731619000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.753631002417414,0.0,4.412,,1677973403680,0.30204582,,1408212731619000,1.015834,Car
Fix,GPS,37.3860477893,-122.083800117,7.300446702237718,0.0,4.4464083,204.43593,1677973404000,0.30864966,180.0,1408213731539000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.743911442337087,0.0,4.542,,1677973404680,0.30864966,,1408213731539000,0.9751136,Car
Fix,GPS,37.3860477893,-122.083800117,7.432986553118452,0.0,4.162277,204.43593,1677973405000,0.3117449,126.614494,1408214731347000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.730610973591894,0.0,4.577,,1677973405680,0.3117449,,1408214731347000,0.9923616,Car
Fix,NLP,37.3862137,-122.0838934,-0.5000001192092896,,46.493,,1677973405900,,,1408214951000000,3.4286563,Car
Fix,FLP,37.3860478,-122.0838001,-5.7285647457724735,0.0,4.699,,1677973405900,0.3117449,,1408214951000000,1.0045717,Car
Fix,GPS,37.3860477893,-122.083800117,7.629710727120752,0.0,4.162148,204.43593,1677973406000,0.33825672,167.89499,1408215731697000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.719356714461817,0.0,4.732,,1677973406680,0.33825672,,1408215731697000,0.95087814,Car
Fix,GPS,37.3860477893,-122.083800117,7.828947267687767,0.0,4.7986255,204.43593,1677973407000,0.35680354,35.533543,1408216731398000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.706567765443843,0.0,4.838,,1677973407680,0.35680354,,1408216731398000,0.96090615,Car
Fix,GPS,37.3860477893,-122.083800117,7.997533458361824,0.0,4.161891,204.43593,1677973408000,0.33634204,46.558956,1408217731410000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.698382827920483,0.0,4.742,,1677973408680,0.33634204,,1408217731410000,0.978152,Car
Fix,GPS,37.3860477893,-122.083800117,8.164517614442241,0.0,4.1736107,204.43593,1677973409000,0.33809844,180.0,1408218731550000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.678432009500668,0.0,4.746,,1677973409680,0.33809844,,1408218731550000,1.0416114,Car
Fix,GPS,37.3860477893,-122.083800117,8.319410619208814,0.0,4.797516,204.43593,1677973410000,0.3630727,108.154434,1408219731408000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.660527388778675,0.0,4.852,,1677973410680,0.3630727,,1408219731408000,0.9910069,Car
Fix,NLP,37.3861884,-122.08393,-0.5000001192092896,,46.213,,1677973410923,,,1408219974000000,3.9027526,Car
Fix,FLP,37.3860478,-122.0838001,-5.678432009500668,0.0,5.007,,1677973410923,0.3630727,,1408219974000000,0.9542852,Car
Fix,GPS,37.3860477893,-122.083800117,8.462832438719033,0.0,4.2482734,204.43593,1677973411000,0.3523512,162.20557,1408220731469000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.6774088893375065,0.0,4.899,,1677973411680,0.3523512,,1408220731469000,0.9675336,Car
Fix,GPS,37.3860477893,-122.083800117,8.567721208103386,0.0,4.796777,204.43593,1677973412000,0.3620196,180.0,1408221731441000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.699917504309646,0.0,5.021,,1677973412680,0.3620196,,1408221731441000,1.0312352,Car
Fix,GPS,37.3860477893,-122.083800117,8.689425142125112,0.0,4.7964077,204.43593,1677973413000,0.36229664,180.0,1408222731758000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.741865217738408,0.0,5.127,,1677973413680,0.36229664,,1408222731758000,0.98018926,Car
Fix,GPS,37.3860477893,-122.083800117,8.857970514525352,0.0,4.796038,204.43593,1677973414000,0.3501881,99.30955,1408223731483000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.723449174060036,0.0,5.08,,1677973414680,0.3501881,,1408223731483000,0.98918927,Car
Fix,GPS,37.3860477893,-122.083800117,8.982250295212976,0.0,4.392358,204.43593,1677973415000,0.3335158,85.23725,1408224731516000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.74288833010008,0.0,5.11,,1677973415680,0.3335158,,1408224731516000,1.0074748,Car
Fix,NLP,37.3862737,-122.0839935,1.7000000476837158,,46.437,,1677973415953,,,1408225004000000,7.127827,Car
Fix,FLP,37.3860478,-122.0838001,-5.756188779528223,0.0,5.108,,1677973415953,0.3335158,,1408225004000000,1.0255555,Car
Fix,GPS,37.3860477893,-122.083800117,9.13456705965332,0.0,4.3675594,204.43593,1677973416000,0.2905713,180.0,1408225731542000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.762838996394585,0.0,5.476,,1677973416680,0.2905713,,1408225731542000,1.0316639,Car
Fix,GPS,37.3860477893,-122.083800117,9.286119298336708,0.0,4.445037,204.43593,1677973417000,0.27986476,21.592897,1408226731450000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.8267831223395845,0.0,5.432,,1677973417680,0.27986476,,1408226731450000,0.9796615,Car
Fix,GPS,37.3860477893,-122.083800117,9.446732252162183,0.0,4.238278,204.43593,1677973418000,0.28936207,35.722202,1408227731496000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.86156852371689,0.0,5.144,,1677973418680,0.28936207,,1408227731496000,0.9865746,Car
Fix,GPS,37.3860477893,-122.083800117,9.67926769262862,0.0,4.444826,204.43593,1677973419000,0.4116685,15.734633,1408228731704000,3.0,Car
Fix,FLP,37.3860478,-122.0838001,-5.838037238449999,0.0,5.144,,1677973419680,0.4116685,,1408228731704000,1.0070708,Car
Fix,GPS,37.3860276055,-122.0837933731,10.017002864719826,1.3156607,4.4447193,170.08788,1677973420000,0.62769634,25.600353,1408229731532000,3.0,Car
Fix,FLP,37.3860414,-122.083798,-5.652342406674109,0.34711877,5.114,175.46457,1677973420680,0.62769634,25.600353,1408229731532000,1.0714265,Car
Fix,NLP,37.3861495,-122.0842982,2.38418582e-08,,41.471,,1677973420875,,,1408229926000000,4.504843,Car
Fix,FLP,37.3860386,-122.0837972,-5.605278605779319,0.3486587,5.283,175.46155,1677973420875,0.62769634,25.600353,1408229926000000,1.0379966,Car
Fix,GPS,37.385989932,-122.0838077747,10.31822455946065,2.7032082,4.9099565,180.8513,1677973421000,0.6579418,13.045857,1408230731510000,3.2338214,Car
Fix,FLP,37.386016,-122.0838012,-5.562818647530385,1.9560287,4.715,179.82832,1677973421680,0.6579418,13.045857,1408230731510000,0.982708,Car
Fix,GPS,37.3859306228,-122.0838310914,10.495006412438466,3.780209,5.4072227,183.0662,1677973422000,0.7462163,10.7618,1408231731564000,3.5471485,Car
Fix,FLP,37.385972,-122.0838121,-5.424694416448361,3.1079507,4.866,181.90138,1677973422680,0.7462163,10.7618,1408231731564000,1.0008647,Car
Fix,GPS,37.3858469808,-122.0838587183,9.716957016996208,6.3171744,5.654558,190.34854,1677973423000,0.46732673,4.0901346,1408232731596000,3.855023,Car
Fix,FLP,37.3859089,-122.0838324,-5.3673977768313605,5.280094,5.2,188.1214,1677973423680,0.46732673,4.0901346,1408232731596000,1.0106107,Car
Fix,GPS,37.3857694708,-122.0838730854,9.558908757805266,6.652449,5.6823955,180.77885,1677973424000,0.46236852,3.9615664,1408233731637000,4.172738,Car
Fix,FLP,37.3858287,-122.0838514,-5.424694416448361,6.3997464,5.244,181.28418,1677973424680,0.46236852,3.9615664,1408233731637000,1.0751139,Car
Fix,GPS,37.3857008719,-122.0838658769,9.023919137777504,6.943265,5.887154,167.18169,1677973425000,0.50458,4.362623,1408234731604000,4.5061784,Car
Fix,FLP,37.3857445,-122.083856,-5.3673977768313605,6.8038864,5.582,170.03423,1677973425680,0.50458,4.362623,1408234731604000,1.0847038,Car
Fix,NLP,37.3860811,-122.0842387,2.38418582e-08,,50.062,,1677973426012,,,1408235063000000,3.9930089,Car
Fix,FLP,37.3857213,-122.0838535,-5.361258828123951,6.808003,5.94,170.06046,1677973426012,0.50458,4.362623,1408235063000000,0.98616344,Car
Fix,GPS,37.3856315757,-122.083841277,8.55029551571222,7.476085,6.01678,150.975,1677973426000,0.6803085,5.34189,1408235731644000,4.826136,Car
Fix,FLP,37.3856635,-122.0838384,-5.358700931513504,7.191118,6.063,156.139,1677973426680,0.6803085,5.34189,1408235731644000,0.9890802,Car
Fix,GPS,37.3855755857,-122.0837858065,7.1331626965547175,7.831738,6.0633645,140.16267,1677973427000,0.6016476,4.297895,1408236731686000,5.0445666,Car
Fix,FLP,37.3855941,-122.0837937,-5.388884062199622,7.6389256,6.289,143.63872,1677973427680,0.6016476,4.297895,1408236731686000,1.0114559,Car
Fix,GPS,37.3855252276,-122.0837099062,6.764195519731402,8.924204,6.139943,130.21883,1677973428000,0.60242087,3.6627512,1408237731679000,5.2990947,Car
Fix,FLP,37.385534,-122.0837261,-5.366374619024143,8.572425,6.664,132.9608,1677973428680,0.60242087,3.6627512,1408237731679000,1.0763841,Car
Fix,GPS,37.3854780728,-122.0836125723,6.039299035892224,9.978756,6.2041206,125.34722,1677973429000,0.6155179,3.2758791,1408238731934000,5.541157,Car
Fix,FLP,37.3854803,-122.0836356,-5.127975473648789,9.611013,6.751,126.77486,1677973429680,0.6155179,3.2758791,1408238731934000,1.0859641,Car
Fix,GPS,37.3854279722,-122.0835009645,5.851680611212914,10.729055,6.338105,123.13804,1677973430000,0.5622861,2.800678,1408239731645000,5.7558384,Car
Fix,FLP,37.3854282,-122.0835283,-4.905941038250347,10.484795,6.826,123.74515,1677973430680,0.5622861,2.800678,1408239731645000,1.0476954,Car
Fix,GPS,37.3853709681,-122.0833808208,5.6339647700437165,11.591659,6.420229,122.84563,1677973431000,0.56659126,2.6269186,1408240731655000,5.9620934,Car
Fix,FLP,37.3853736,-122.0834095,-4.767294458330525,11.34379,6.233,122.364525,1677973431680,0.56659126,2.6269186,1408240731655000,1.0437099,Car
Fix,GPS,37.3853074915,-122.0832557901,6.274886629691334,13.006514,6.558261,125.89502,1677973432000,0.5791244,2.3821068,1408241731715000,6.14538,Car
Fix,FLP,37.3853132,-122.0832827,-4.366690271081659,12.622213,6.332,124.45691,1677973432680,0.5791244,2.3821068,1408241731715000,1.0621905,Car
Fix,GPS,37.3852317639,-122.0831214252,7.349339605992622,13.927489,6.620393,127.715195,1677973433000,0.54738337,2.1401477,1408242731726000,6.263298,Car
Fix,FLP,37.3852411,-122.0831477,-4.29813030839928,13.651047,6.428,126.49253,1677973433680,0.54738337,2.1401477,1408242731726000,1.0718006,Car
Fix,GPS,37.385150065,-122.0829793982,8.001362754734691,14.353685,6.483733,127.156364,1677973434000,0.54752487,2.069437,1408243731724000,6.3713665,Car
