Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,GPS,37.4230218686,-122.1672525374,8.500538597803994,,1.4362004,,1675903175271,,,4257687794781079,15.347679,Walk
Fix,FLP,37.4229611,-122.167286,0.6000000238418579,0.027798763,9.506,,1675903177050,,,4257687665946477,1.197457,Walk
Fix,NLP,37.4228491,-122.1674541,0.6000000238418579,,22.006,,1675903170931,,,4257681546000000,1.0667307,Walk
Fix,GPS,37.4229651959,-122.1670663772,10.685539248894576,0.0,16.928778,,1675903176271,0.89499784,,4257688887416333,111.90526,Walk
Fix,FLP,37.4229578,-122.1672908,0.6000000238418579,0.019374296,10.263,,1675903178062,,,4257688678734868,1.1929575,Walk
Fix,GPS,37.4230047932,-122.1671133595,10.78419493781177,0.0,10.649386,,1675903177271,0.9617533,,4257689856412875,139.00764,Walk
Fix,FLP,37.4229508,-122.1672974,0.6000000238418579,0.008611848,10.071,,1675903179076,,,4257689691537114,1.1492473,Walk
Fix,FLP,37.4229435,-122.1673026,0.6000000238418579,0.003714578,9.618,,1675903179582,,,4257690197922978,1.1492473,Walk
Fix,GPS,37.4229806502,-122.1671999261,34.53160236733504,0.0,12.692816,,1675903178271,0.63945305,,4257690872460524,31.60061,Walk
Fix,FLP,37.4229393,-122.1673056,0.6000000238418579,0.006031635,9.385,,1675903180089,,,4257690704335027,1.1549785,Walk
Fix,GPS,37.4229765902,-122.1672615438,20.82107879122909,0.0,7.074315,,1675903179271,0.6867618,,4257691877147943,21.878973,Walk
Fix,FLP,37.4229328,-122.1673102,0.6000000238418579,0.010841674,9.027,,1675903181102,,,4257691717136235,1.254203,Walk
Fix,FLP,37.4229264,-122.1673145,0.6000000238418579,0.01469422,8.535,,1675903182114,,,4257692729945623,1.254203,Walk
Fix,GPS,37.4229682373,-122.1672716943,24.15989028819872,0.0,10.469914,,1675903180271,0.75192976,,4257692924670201,43.83863,Walk
Fix,FLP,37.4229204,-122.1673183,0.6000000238418579,0.017584467,7.843,,1675903183127,,,4257693742754644,1.2889717,Walk
Fix,GPS,37.4229652022,-122.1672825608,25.504889261412387,0.0,15.009516,,1675903181271,0.96014076,,4257693912830235,101.28964,Walk
Fix,GPS,37.4229608593,-122.167290071,27.956601862854264,0.0,35.613743,,1675903182271,0.90725416,,4257694941390091,63.499,Walk
Fix,NLP,37.4228815,-122.1674192,0.6000000238418579,,20.157,,1675903184314,,,4257694929000000,1.5815101,Walk
Fix,FLP,37.422916,-122.1673206,-2.6942947176980425,0.019744363,7.374,,1675903184140,,,4257694755562322,1.041914,Walk
Fix,GPS,37.4228955159,-122.1674947211,37.64911241222978,0.0,31.06157,,1675903183271,0.44194967,,4257695932200760,54.36847,Walk
Fix,FLP,37.4229096,-122.1673239,-9.364329326328216,0.022459684,6.906,,1675903185256,,,4257695872358181,1.1548686,Walk
Fix,GPS,37.4229415036,-122.1674586043,18.399576314657835,0.0,18.663542,,1675903184271,20.0,,4257696922819332,25.108454,Walk
Fix,FLP,37.4229028,-122.1673256,-5.59469955703706,0.02836881,6.421,,1675903186342,,,4257696957498135,1.0837345,Walk
Fix,FLP,37.4228978,-122.1673256,-2.867169723983494,0.029583665,6.126,,1675903186885,,,4257697500084562,1.0953246,Walk
Fix,FLP,37.4228944,-122.1673251,-2.867169723983494,0.0022476297,5.664,,1675903187427,,,4257698042659024,1.0953246,Walk
Fix,GPS,37.4229626707,-122.1674217509,12.43547807267516,0.0,12.355602,,1675903185999,20.0,,4257698611428586,15.553469,Walk
Fix,FLP,37.4228934,-122.1673241,-4.885604275266431,0.0013333901,5.627,,1675903187970,,,4257698585225979,1.1107609,Walk
Fix,FLP,37.4228918,-122.1673226,-4.885604275266431,0.00024384026,5.426,,1675903188512,,,4257699127804287,1.1107609,Walk
Fix,GPS,37.4229631968,-122.1674258284,11.086983791579003,0.9345862,11.089471,305.95474,1675903186999,0.4113187,22.403564,4257699635980873,13.575383,Walk
Fix,FLP,37.4228914,-122.1673217,0.6000000238418579,0.00037742613,5.422,,1675903189055,,,4257699670377468,1.1394457,Walk
Fix,NLP,37.4228293,-122.1674659,0.6000000238418579,,22.293,,1675903189253,,,4257699869000000,1.0966063,Walk
Fix,FLP,37.4228904,-122.1673211,7.134280491745216,0.00067411986,5.352,,1675903189597,,,4257700212941678,1.1312648,Walk
