Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.4280504,-122.1699744,-12.774057893716538,0.01847173,5.15,,1678498542704,,,1933357581968001,2.9611373,Walk
Fix,NLP,37.4280812,-122.1703293,-4.299999713897705,,43.749,,1678498543169,,,1933358046000000,2.6912668,Walk
Fix,GPS,37.4280475962,-122.1699705865,25.4231638542675,0.02052115,5.7125134,83.429405,1678498540999,0.038147002,180.0,1933358537570000,4.3698516,Walk
Fix,FLP,37.4280504,-122.1699763,-13.200398549131528,0.026569504,6.358,,1678498543717,,,1933358594868392,2.5352647,Walk
Fix,GPS,37.4280471192,-122.1699706317,25.496093011272137,0.015974022,5.874622,83.429405,1678498541999,0.039211586,180.0,1933359537584000,4.335742,Walk
Fix,FLP,37.4280503,-122.1699777,-13.242345985867251,0.019180555,6.843,,1678498544730,,,1933359607763107,2.5409732,Walk
Fix,NLP,37.4280785,-122.1703413,-4.599999904632568,,40.565,,1678498545546,,,1933360423000000,2.9180517,Walk
Fix,FLP,37.4280502,-122.1699782,-13.12366489450028,0.017631188,6.884,,1678498545237,,,1933360114214583,2.6062489,Walk
Fix,GPS,37.4280469954,-122.1699708949,25.577462242871363,0.020338109,5.7130046,83.429405,1678498542999,0.038677625,180.0,1933360537618000,4.300505,Walk
Fix,FLP,37.4280501,-122.1699785,-13.12366489450028,0.017307779,6.937,,1678498545743,,,1933360620664535,2.654996,Walk
Fix,FLP,37.4280498,-122.1699786,-13.12366489450028,0.019211836,7.228,,1678498546250,,,1933361127118026,2.654996,Walk
Fix,GPS,37.4280492948,-122.1699731562,25.178267570967428,0.17883249,5.8751,326.03192,1678498543999,0.039527696,10.0,1933361537615000,4.2664404,Walk
Fix,FLP,37.4280498,-122.1699788,-10.85785048377418,0.01977271,7.221,,1678498546756,,,1933361633553206,2.7301471,Walk
Fix,FLP,37.4280493,-122.1699788,-10.85785048377418,0.08316563,7.203,,1678498547263,,,1933362140019333,2.7301471,Walk
Fix,GPS,37.4280508089,-122.1699751838,25.052847946130232,0.21441329,5.7134957,326.03192,1678498544999,0.32253987,30.13838,1933362537816000,4.2944217,Walk
Fix,FLP,37.4280491,-122.1699788,-10.761673102669311,0.11564929,7.182,154.7231,1678498547769,,,1933362646472152,3.1818886,Walk
Fix,NLP,37.4279452,-122.1705314,-4.5,,25.958,,1678498548157,,,1933363034000000,2.319303,Walk
Fix,GPS,37.4280485734,-122.1699782588,25.144281907635666,0.38721967,4.992646,326.03192,1678498545999,0.4706184,34.798992,1933363537842000,4.333392,Walk
Fix,FLP,37.4280478,-122.1699861,-11.181673727624071,0.13626307,7.149,157.32175,1678498548782,,,1933363659380355,2.9646668,Walk
Fix,GPS,37.4280477453,-122.1699859615,25.117706217565097,0.5565442,5.3121414,326.03192,1678498546999,0.6550243,25.183342,1933364537711000,4.4571743,Walk
Fix,FLP,37.4280458,-122.1699918,-11.49781146800212,0.2682584,7.146,151.68642,1678498549795,,,1933364672278365,2.9702556,Walk
Fix,FLP,37.4280441,-122.1699998,-11.49781146800212,0.40193856,7.119,152.91568,1678498550301,,,1933365178745162,2.9702556,Walk
Fix,GPS,37.428046509,-122.1699942951,25.36313030891253,0.63287884,5.7233357,326.03192,1678498547999,0.7505521,180.0,1933365537703000,4.6446323,Walk
Fix,FLP,37.4280437,-122.1700025,-12.865047785167036,0.4496506,7.077,153.38664,1678498550822,,,1933365699642624,2.892954,Walk
Fix,FLP,37.4280424,-122.1700074,-12.865047785167036,0.50599116,7.046,162.36383,1678498551364,,,1933366241389982,2.892954,Walk
Fix,GPS,37.428044133,-122.1700017382,25.6438445093577,0.6702761,6.2231827,326.03192,1678498548999,0.8415523,30.701008,1933366537750000,4.870581,Walk
Fix,FLP,37.4280419,-122.1700115,-13.344269828765448,0.5599162,7.026,170.06474,1678498551907,,,1933366784023649,2.902812,Walk
Fix,FLP,37.4280413,-122.1700152,-13.344269828765448,0.5607147,7.023,190.23064,1678498552449,,,1933367326648404,2.902812,Walk
Fix,GPS,37.4280532877,-122.1700074315,25.202119488561816,0.73015916,6.638239,326.03192,1678498549999,0.66705996,158.26526,1933367537776000,5.0975704,Walk
Fix,NLP,37.428146,-122.1704084,-4.599999904632568,,39.363,,1678498553169,,,1933368046000000,2.4442105,Walk
Fix,FLP,37.4280421,-122.1700222,-18.60574228469203,0.5843111,7.027,210.44173,1678498552991,,,1933367869274991,2.7138336,Walk
