X_u,Y_u,Z_u,RxTime_s
-2700204.671839861,-4292512.748348789,3855061.2000635033,239180.0
-2700224.874184215,-4292573.921979245,3855109.490546649,239181.0
-2700225.11597276,-4292592.270014843,3855119.3486689655,239182.0
-2700224.7149336883,-4292579.471619059,3855106.0189616596,239183.0
-2700224.335330078,-4292582.857464502,3855105.1407093843,239184.0
-2700225.7515159384,-4292592.700843197,3855115.102582799,239185.0
-2700228.6595848612,-4292601.799787071,3855120.6475784527,239186.0
-2700227.49754738,-4292600.303834926,3855119.338248294,239187.0
-2700223.5378893404,-4292580.186902178,3855111.141420361,239188.0
-2700226.300529824,-4292594.687015969,3855119.551096713,239189.0
-2700222.551033284,-4292587.035303581,3855111.246196188,239190.0
-2700231.108011835,-4292592.065675079,3855119.361674605,239191.0
-2700224.9427775526,-4292597.290081139,3855131.0141026247,239192.0
-2700225.6319395257,-4292597.875818006,3855127.4065156663,239193.0
-2700230.5205553104,-4292601.271958016,3855131.564049942,239194.0
-2700224.415694524,-4292590.936735423,3855125.1596252145,239195.0
-2700220.1551910327,-4292579.455770601,3855112.4395356798,239196.0
-2700232.593121455,-4292600.294182702,3855136.2682405403,239197.0
-2700229.004814511,-4292602.896254951,3855142.957539338,239198.0
-2700227.211616119,-4292597.900526167,3855146.9974792497,239199.0
-2700224.507896503,-4292593.238107802,3855141.207176231,239200.0
-2700225.775080641,-4292589.465175974,3855133.352788252,239201.0
-2700219.9001817885,-4292584.755208229,3855123.546151167,239202.0
-2700217.0276416554,-4292590.4146361975,3855124.61285673,239203.0
-2700213.828347407,-4292591.854546114,3855120.185233885,239204.0
-2700212.014180907,-4292589.522512957,3855117.2857001047,239205.0
-2700208.9218448857,-4292590.336954846,3855118.7766971043,239206.0
-2700208.208750958,-4292579.631545929,3855109.4846708393,239207.0
-2700208.733971076,-4292583.77139328,3855118.4291610653,239208.0
-2700221.2990945997,-4292602.281141922,3855144.681144916,239209.0
-2700214.30698172,-4292586.551894174,3855130.811764284,239210.0
-2700214.073826665,-4292580.69752421,3855123.9468930666,239211.0
-2700215.407029296,-4292582.702166418,3855134.469302246,239212.0
-2700209.6797763617,-4292582.217542025,3855132.412570332,239213.0
-2700203.0686904686,-4292577.52881534,3855134.6004746608,239214.0
-2700208.277101179,-4292589.942257593,3855130.7446378036,239215.0
-2700198.6140629365,-4292563.817280933,3855112.2542036823,239216.0
-2700197.8802589993,-4292567.227659448,3855117.3000468947,239217.0
-2700200.2141933087,-4292558.606336401,3855106.5587955015,239218.0
-2700197.699750328,-4292562.904280446,3855113.724090632,239219.0
-2700219.3046319624,-4292594.126694249,3855131.4937520847,239220.0
-2700214.7276951005,-4292595.929700332,3855128.880201706,239221.0
-2700204.1815323546,-4292578.265001089,3855129.3341584606,239222.0
-2700203.0103914905,-4292583.498390748,3855127.3001129413,239223.0
-2700198.4153061113,-4292582.150585509,3855128.750830709,239224.0
-2700195.887456618,-4292584.463646066,3855130.738519678,239225.0
-2700187.2665452077,-4292565.5353026595,3855118.4038237776,239226.0
-2700193.6450614654,-4292597.304666382,3855135.6237744642,239227.0
-2700192.839893971,-4292607.804009317,3855138.84255073,239228.0
-2700199.5337197073,-4292609.320539919,3855130.9787550173,239229.0
-2700202.393537541,-4292611.355826805,3855122.3716487,239230.0
-2700200.474956465,-4292612.836034665,3855117.1473917663,239231.0
-2700193.950334321,-4292602.281865433,3855110.4792599618,239232.0
-2700194.738764529,-4292632.4874432795,3855124.7357313884,239233.0
-2700193.57480773,-4292635.398123898,3855122.109128712,239234.0
-2700186.474667511,-4292623.118071026,3855109.420026584,239235.0
-2700186.072758421,-4292632.26741465,3855114.8885670844,239236.0
-2700185.882135103,-4292635.803351513,3855118.458348713,239237.0
-2700186.155746643,-4292640.052529658,3855120.7351520997,239238.0
-2700182.6664657122,-4292644.064806521,3855127.984594431,239239.0
-2700186.3412830695,-4292667.2505187765,3855140.1920262,239240.0
-2700175.098817036,-4292608.29395987,3855117.700221656,239241.0
-2700173.239283964,-4292592.555659148,3855111.508227158,239242.0
-2700170.241369871,-4292608.806590336,3855133.531980699,239243.0
-2700164.2536771935,-4292606.120002297,3855136.9372469867,239244.0
-2700161.1494267234,-4292596.472180297,3855135.952215284,239245.0
-2700163.5509168375,-4292607.115469137,3855148.911186382,239246.0
-2700158.6776204007,-4292602.086518769,3855151.065964551,239247.0
-2700153.5385250845,-4292602.145035102,3855152.0861069094,239248.0
-2700156.59895002,-4292615.148609305,3855168.5976939634,239249.0
-2700151.142999949,-4292603.3909331905,3855167.184966631,239250.0
-2700147.8582368237,-4292601.444061357,3855171.3827909636,239251.0
-2700146.9477543365,-4292595.148596925,3855175.1132598603,239252.0
-2700145.3052543406,-4292579.256693026,3855165.7251287936,239253.0
-2700147.7582191788,-4292580.107890295,3855170.4698455874,239254.0
-2700151.038838909,-4292579.0660267025,3855169.948577206,239255.0
-2700158.0948295016,-4292579.271555298,3855174.657358399,239256.0
-2700164.3043227005,-4292579.790800895,3855179.2135078115,239257.0
-2700167.8450394566,-4292574.489841979,3855179.7688742005,239258.0
-2700165.685466038,-4292566.537134814,3855178.141653238,239259.0
-2700171.149421026,-4292560.268398439,3855175.2064654757,239260.0
-2700172.6008560974,-4292555.419590825,3855170.9261220866,239261.0
-2700178.8584748013,-4292554.825826911,3855175.2684371937,239262.0
-2700181.8379905443,-4292550.529964416,3855174.732483891,239263.0
-2700186.8528801287,-4292546.749594786,3855176.105945606,239264.0
-2700191.510648742,-4292543.837143135,3855177.116478554,239265.0
-2700193.6873178408,-4292542.449820506,3855180.8596700197,239266.0
-2700197.6343445545,-4292537.118642263,3855177.615183024,239267.0
-2700197.289893502,-4292529.3319800785,3855173.708796754,239268.0
-2700202.2275765357,-4292526.70276127,3855179.0116527625,239269.0
-2700210.8049077084,-4292526.000257735,3855188.748606561,239270.0
-2700216.2024897127,-4292521.092646236,3855186.3914927,239271.0
