X_u,Y_u,Z_u,RxTime_s
,,,249959.0
,,,249960.0
-2700430.3897311413,-4292508.306612793,3855236.255721367,249961.0
,,,249960.0
-2700378.6683524284,-4292559.156251518,3855309.7405044176,249961.0
-2700378.6929719215,-4292553.311343137,3855293.7105407063,249962.0
-2700383.927945279,-4292546.7943685865,3855293.5650803964,249963.0
-2700367.39921245,-4292593.916606815,3855308.3884124793,249964.0
-2700377.492802378,-4292536.877436892,3855285.0606706436,249965.0
-2700376.4519411135,-4292545.712784063,3855278.2349418662,249966.0
-2700375.388517982,-4292540.512694805,3855275.240487276,249967.0
-2700375.1636633505,-4292545.63557607,3855272.8573907427,249968.0
-2700374.868628441,-4292544.7924051,3855280.501956834,249969.0
-2700376.403329074,-4292548.875228553,3855285.3310028156,249970.0
-2700377.6790095246,-4292545.293180611,3855281.73492942,249971.0
-2700379.820720171,-4292562.844802825,3855289.590869621,249972.0
-2700389.776268635,-4292580.207236707,3855302.74315599,249973.0
-2700378.141470341,-4292567.229763318,3855291.15249202,249974.0
-2700385.487285529,-4292562.214792069,3855290.570527575,249975.0
-2700378.995416779,-4292556.395627813,3855289.0907105883,249976.0
-2700375.6007775827,-4292547.693682505,3855291.032240078,249977.0
-2700375.673516331,-4292552.564079217,3855293.0514964624,249978.0
-2700375.3581203558,-4292552.846805684,3855292.0231475653,249979.0
-2700378.229306739,-4292557.805368661,3855296.5340276347,249980.0
-2700378.9480074835,-4292570.967290711,3855299.993166799,249981.0
-2700376.4117066083,-4292564.718368409,3855305.4871042483,249982.0
-2700373.8039336903,-4292565.391605966,3855313.26499265,249983.0
-2700367.0197678264,-4292562.6948267585,3855317.3658026103,249984.0
-2700365.387005553,-4292560.813637733,3855317.2346900706,249985.0
-2700366.6584977703,-4292565.4885203615,3855320.139644861,249986.0
-2700360.2672691657,-4292561.874573708,3855321.2241078354,249987.0
-2700349.9388317135,-4292548.298989636,3855310.596722219,249988.0
-2700348.9011308933,-4292549.57606797,3855325.5936055533,249989.0
-2700353.481082206,-4292519.408934136,3855306.225723684,249990.0
-2700351.145359154,-4292522.7505357005,3855307.6208613827,249991.0
-2700354.7827224513,-4292528.97202689,3855314.1504660426,249992.0
-2700350.908195619,-4292523.655609456,3855319.1787549197,249993.0
-2700353.7757432144,-4292527.282489976,3855336.2378354133,249994.0
-2700351.7360265506,-4292520.389276631,3855335.604601948,249995.0
-2700350.626111059,-4292523.437472686,3855328.581288718,249996.0
-2700351.0143329105,-4292524.462270075,3855336.6704397867,249997.0
-2700350.0516844173,-4292518.97675899,3855338.314348775,249998.0
-2700359.196534274,-4292523.809702171,3855351.8814623742,249999.0
-2700359.36569265,-4292514.104165665,3855327.7462912044,250000.0
-2700364.747216103,-4292512.237769045,3855339.45881251,250001.0
-2700369.6726816082,-4292515.953093271,3855353.091092233,250002.0
-2700376.441810558,-4292511.861373729,3855349.232786241,250003.0
-2700389.124787929,-4292518.7229367,3855343.20429679,250004.0
-2700392.2808450228,-4292514.267769772,3855351.6360130063,250005.0
-2700395.400910399,-4292513.1765611805,3855348.16123453,250006.0
-2700403.974818782,-4292512.089398159,3855351.8270522193,250007.0
-2700407.405479175,-4292509.788610323,3855350.7832188676,250008.0
-2700411.378932991,-4292508.084361336,3855357.773601064,250009.0
-2700411.2689893385,-4292499.068981566,3855356.2314895834,250010.0
-2700412.09222005,-4292494.112307972,3855353.1797091085,250011.0
-2700415.4592731106,-4292487.214856768,3855349.7796208034,250012.0
-2700402.466986246,-4292458.25284657,3855353.927578429,250013.0
-2700407.827136624,-4292460.045868676,3855358.882245289,250014.0
-2700406.76383584,-4292449.4558366295,3855342.511714875,250015.0
-2700407.890346033,-4292447.663453656,3855342.4518339634,250016.0
-2700408.4344254024,-4292445.233236709,3855335.398984384,250017.0
-2700415.0326395803,-4292445.293915173,3855336.795784942,250018.0
-2700422.8275329466,-4292453.720046509,3855340.619767719,250019.0
-2700423.5857148212,-4292451.059555912,3855344.191110382,250020.0
-2700418.554443808,-4292434.2329262225,3855339.5493661044,250021.0
-2700428.872844565,-4292442.235766803,3855377.0982120135,250022.0
-2700441.0544469366,-4292454.942023361,3855417.2874010946,250023.0
-2700433.038485,-4292466.241349797,3855364.5558254416,250024.0
-2700430.2294282527,-4292458.855542943,3855367.762575625,250025.0
-2700424.5559385233,-4292454.530619996,3855371.2001616987,250026.0
-2700427.551475912,-4292442.913670297,3855362.6753781796,250027.0
-2700425.393092866,-4292455.730491069,3855365.358620598,250028.0
-2700425.4014605596,-4292450.068298815,3855362.224074604,250029.0
-2700427.2972288798,-4292453.615189769,3855367.0335827656,250030.0
-2700428.7000999115,-4292453.28464897,3855369.797177111,250031.0
-2700434.2916201055,-4292454.055448561,3855381.7285635,250032.0
-2700434.178542995,-4292454.638152037,3855383.136819868,250033.0
-2700450.420532041,-4292467.199268735,3855432.0390211935,250034.0
-2700425.040740663,-4292441.658507583,3855351.4850669266,250035.0
-2700429.7214409583,-4292445.779883193,3855357.019785924,250036.0
-2700428.76306671,-4292447.49265323,3855362.8838934517,250037.0
-2700425.8245688453,-4292439.694659449,3855360.9023477016,250038.0
-2700423.1327674054,-4292442.067759148,3855359.049695016,250039.0
-2700429.3304350316,-4292438.090739067,3855351.663410863,250040.0
-2700436.556223654,-4292455.734272214,3855366.4406150687,250041.0
-2700442.5521644875,-4292463.009084231,3855373.2400204646,250042.0
-2700433.809629671,-4292454.706891685,3855378.2996303467,250043.0
-2700430.377322907,-4292448.041027835,3855367.468359555,250044.0
-2700425.9279320017,-4292447.34650758,3855366.8925872846,250045.0
-2700418.4288336914,-4292439.275902198,3855373.006773956,250046.0
-2700412.491455587,-4292428.26252859,3855370.2681507017,250047.0
-2700409.1839555427,-4292428.102478961,3855371.9192238366,250048.0
-2700411.332596681,-4292425.925549348,3855381.924118401,250049.0
-2700406.8045880995,-4292421.170276983,3855388.173677153,250050.0
-2700402.5606489885,-4292428.077087901,3855394.4199389354,250051.0
-2700413.984577612,-4292447.5134045025,3855468.5358387595,250052.0
-2700411.545128035,-4292434.456017501,3855463.785533593,250053.0
-2700399.060859674,-4292425.946541514,3855406.50472712,250054.0
-2700404.7573718894,-4292427.189272692,3855442.912198507,250055.0
-2700400.6135106864,-4292422.815632139,3855449.430547358,250056.0
-2700398.616510228,-4292426.29561607,3855459.0653476776,250057.0
-2700395.409322319,-4292422.708804745,3855454.8344197846,250058.0
-2700397.3069344326,-4292424.091231108,3855461.2750156755,250059.0
-2700395.979297402,-4292440.312072918,3855475.0192127936,250060.0
-2700391.163226463,-4292435.288700897,3855475.9872743725,250061.0
-2700383.001927988,-4292428.814970716,3855476.7069949447,250062.0
-2700376.29820053,-4292425.89560408,3855472.033771483,250063.0
-2700375.140888857,-4292421.271883299,3855478.1258169524,250064.0
-2700365.20520933,-4292414.071087949,3855476.634323638,250065.0
-2700361.5484107127,-4292410.098530779,3855479.9992680154,250066.0
-2700359.346126239,-4292415.559743355,3855475.805034957,250067.0
-2700354.8086635657,-4292418.879440194,3855477.92556078,250068.0
-2700352.441419664,-4292413.930240867,3855479.202609272,250069.0
-2700346.5736776143,-4292408.654283618,3855488.169949328,250070.0
-2700347.0067983456,-4292406.705958465,3855497.622234055,250071.0
-2700348.9110042136,-4292403.060658796,3855496.6278827307,250072.0
-2700348.9010337214,-4292401.249421286,3855505.0795383486,250073.0
-2700343.65141143,-4292392.004545354,3855499.5534891794,250074.0
-2700342.5907874964,-4292388.26687018,3855496.889468117,250075.0
-2700346.5251806187,-4292386.138443397,3855510.331960235,250076.0
-2700346.750717475,-4292387.928743863,3855514.2527926276,250077.0
