X_u,Y_u,Z_u,RxTime_s
-2699475.094054637,-4291910.388925651,3856487.47411453,251095.0
-2699455.0200453126,-4291784.98932432,3856449.0691733453,251096.0
-2699452.9878034387,-4291770.568057129,3856443.1262192912,251097.0
-2699460.0918065743,-4291775.641721486,3856446.996824088,251098.0
-2699455.3016167823,-4291772.405803453,3856444.0256824694,251099.0
-2699455.9448590837,-4291772.144160358,3856440.7593557946,251100.0
-2699453.699852744,-4291770.709312553,3856439.334367595,251101.0
-2699449.8366234773,-4291769.350133743,3856437.987963293,251102.0
-2699451.852681016,-4291770.011215504,3856440.0601646616,251103.0
-2699455.1737753698,-4291774.290642637,3856443.235922259,251104.0
-2699455.251115281,-4291772.96398656,3856444.0237313313,251105.0
-2699456.731516355,-4291770.480812304,3856440.2947114315,251106.0
-2699453.747966553,-4291767.843024793,3856430.5903701936,251107.0
-2699456.1154515953,-4291769.529161134,3856430.804110456,251108.0
-2699452.4662584523,-4291769.521478051,3856435.87365345,251109.0
-2699453.860093364,-4291771.726839386,3856444.9320383337,251110.0
-2699455.314314331,-4291771.8340372,3856440.1613903027,251111.0
-2699461.002314457,-4291775.961001118,3856443.7079543057,251112.0
-2699460.0324733285,-4291774.836467619,3856442.3983955495,251113.0
-2699461.53057594,-4291775.9389235005,3856448.16569541,251114.0
-2699459.705512618,-4291775.412172707,3856445.861388453,251115.0
-2699458.1872360357,-4291775.115484783,3856445.484209586,251116.0
-2699455.8879319383,-4291773.113932059,3856440.8250710345,251117.0
-2699457.927106552,-4291775.883768212,3856443.3381026066,251118.0
-2699456.18791107,-4291772.124356687,3856436.6920345733,251119.0
-2699457.010567306,-4291773.800926885,3856443.1761424798,251120.0
-2699457.1610471467,-4291773.6297873305,3856439.561989643,251121.0
-2699457.299322055,-4291772.342854666,3856439.814497705,251122.0
-2699451.0923535917,-4291769.722719077,3856430.269846994,251123.0
-2699454.325132361,-4291774.592598614,3856436.5962287593,251124.0
-2699456.4811212984,-4291772.646032055,3856439.52523089,251125.0
-2699454.1680473355,-4291770.656739565,3856435.4202389973,251126.0
-2699447.4150991887,-4291767.421045754,3856432.4447795846,251127.0
-2699447.396121872,-4291766.644218191,3856431.71092907,251128.0
-2699449.3769799946,-4291769.106926065,3856434.661799728,251129.0
-2699446.284892593,-4291770.243584453,3856448.754886166,251130.0
-2699445.826655848,-4291773.604160363,3856452.5288996957,251131.0
-2699442.4553997493,-4291770.820911882,3856450.624876361,251132.0
-2699442.2101977146,-4291774.498570161,3856460.23497079,251133.0
-2699438.7499734536,-4291775.759815016,3856466.876355789,251134.0
-2699436.9439792978,-4291778.832751702,3856469.7344564283,251135.0
-2699431.6627374445,-4291784.385541185,3856469.8293364625,251136.0
-2699426.4745787615,-4291778.842965008,3856466.617918017,251137.0
-2699418.5423218287,-4291773.788547503,3856469.1948365318,251138.0
-2699414.651537875,-4291768.8009189395,3856469.4835808272,251139.0
-2699426.226430549,-4291785.6358822165,3856529.1319961627,251140.0
-2699426.7959320727,-4291793.685396703,3856535.0573585704,251141.0
-2699423.203353128,-4291790.565736575,3856537.182452652,251142.0
-2699418.009098744,-4291788.502676863,3856535.351550548,251143.0
-2699417.0734743066,-4291786.200340894,3856535.7355200513,251144.0
-2699418.130218039,-4291796.48765803,3856537.5167529066,251145.0
-2699419.221738096,-4291806.289237139,3856541.2948765475,251146.0
-2699415.097155147,-4291808.640008825,3856540.1888262015,251147.0
-2699413.3268319173,-4291813.9176092595,3856544.857467477,251148.0
-2699416.274014186,-4291820.145674268,3856543.4462780217,251149.0
-2699424.4152893177,-4291831.8652823325,3856551.3916874854,251150.0
-2699411.0828589704,-4291829.901345636,3856545.9847183307,251151.0
-2699406.0884266873,-4291831.102844605,3856548.3137981533,251152.0
-2699406.0687337276,-4291838.134543807,3856545.7814756706,251153.0
-2699409.1197061185,-4291837.598430872,3856546.944045803,251154.0
-2699401.972062533,-4291840.510070521,3856547.9404510683,251155.0
-2699402.528294788,-4291847.392179026,3856548.913996611,251156.0
-2699406.5321394973,-4291851.671018882,3856548.574185153,251157.0
-2699397.232267649,-4291846.013190724,3856507.930388767,251158.0
-2699384.69995127,-4291835.127079268,3856483.182646086,251159.0
-2699384.2392733083,-4291837.195645078,3856481.1060245964,251160.0
-2699385.2284062915,-4291841.085484662,3856479.8131584297,251161.0
-2699389.8268811326,-4291846.223136846,3856480.125815635,251162.0
-2699392.7305456423,-4291856.226888413,3856498.4573697005,251163.0
-2699385.028831121,-4291853.188016472,3856492.600673874,251164.0
-2699386.7567735473,-4291847.121392183,3856478.861589404,251165.0
-2699392.574824086,-4291847.17767026,3856481.4565080577,251166.0
-2699394.382851468,-4291851.330509462,3856493.0664385417,251167.0
-2699391.420026806,-4291850.368183014,3856488.5813925485,251168.0
-2699388.2740284055,-4291848.280708933,3856486.617495226,251169.0
-2699387.9794002734,-4291847.397600038,3856484.2181653623,251170.0
-2699390.765804914,-4291847.754473407,3856487.5191178005,251171.0
-2699386.1004199996,-4291847.1741338875,3856488.2357968385,251172.0
-2699386.4798597093,-4291850.078824511,3856493.6897176066,251173.0
-2699380.207402213,-4291848.244110482,3856479.1517348764,251174.0
-2699386.476222634,-4291856.488487815,3856499.3287533335,251175.0
-2699387.1887750295,-4291859.0887634605,3856489.5633305283,251176.0
-2699380.1274402575,-4291857.2032212205,3856481.8867465016,251177.0
-2699379.1794177243,-4291859.580965296,3856478.77027896,251178.0
-2699373.1882537473,-4291860.42836038,3856475.7779604746,251179.0
-2699370.5290942686,-4291862.206904718,3856468.0511954776,251180.0
-2699367.3901156513,-4291864.318037901,3856469.789833442,251181.0
-2699360.119100292,-4291860.7214768035,3856472.436855181,251182.0
-2699358.212994596,-4291865.893407729,3856476.1241508466,251183.0
-2699352.9542301428,-4291868.1989100585,3856474.982790573,251184.0
-2699348.040521405,-4291866.871278961,3856474.7656557877,251185.0
-2699342.227049695,-4291864.275978806,3856479.4147372465,251186.0
-2699341.1074061315,-4291869.38717903,3856484.8423495935,251187.0
-2699334.246881643,-4291868.865445942,3856487.533133885,251188.0
-2699334.154933369,-4291867.088511393,3856490.396151345,251189.0
-2699328.4475590494,-4291869.080032129,3856495.6107277446,251190.0
-2699324.309627873,-4291867.555908138,3856497.4367067586,251191.0
-2699319.4803577815,-4291868.971003621,3856499.057241195,251192.0
-2699316.0875240676,-4291870.231274047,3856508.17043599,251193.0
-2699313.7637994196,-4291872.168683834,3856515.5576642365,251194.0
-2699304.33654836,-4291868.296043066,3856507.747609269,251195.0
-2699300.5173305613,-4291867.628925658,3856512.521625657,251196.0
-2699294.932652805,-4291865.959501652,3856513.761849551,251197.0
-2699291.061431976,-4291864.125800049,3856517.588114182,251198.0
-2699284.955959237,-4291866.290603945,3856521.071179329,251199.0
-2699283.639720781,-4291866.793654251,3856526.4407796343,251200.0
-2699278.4202679065,-4291865.456526395,3856528.448670456,251201.0
-2699276.642752814,-4291868.775772856,3856531.1725957035,251202.0
-2699273.8717676247,-4291867.182847158,3856534.010456369,251203.0
-2699270.917096804,-4291868.574422651,3856538.8519667992,251204.0
-2699271.261264578,-4291869.382362577,3856540.414398671,251205.0
-2699263.1531383046,-4291865.799147871,3856540.978690615,251206.0
-2699259.1463978235,-4291866.203447747,3856543.6838829224,251207.0
-2699253.7565751285,-4291865.320525704,3856546.4236132954,251208.0
-2699251.427651574,-4291864.295409885,3856546.539554734,251209.0
-2699247.988925671,-4291868.870196681,3856549.93662116,251210.0
-2699248.490512742,-4291865.133075256,3856554.2068785103,251211.0
-2699245.181404915,-4291866.216264606,3856556.7026964407,251212.0
-2699240.383234349,-4291865.069298355,3856557.1903379476,251213.0
-2699238.000238532,-4291871.992863374,3856555.981632269,251214.0
-2699236.1824108046,-4291870.445612291,3856553.0166704715,251215.0
-2699231.5315208524,-4291868.308274219,3856549.1029797876,251216.0
-2699231.158423495,-4291870.2740894975,3856547.4047777276,251217.0
-2699232.7299543633,-4291877.1834926335,3856552.5183022926,251218.0
-2699229.421792535,-4291880.1343888845,3856549.561954318,251219.0
-2699231.320173865,-4291888.040325746,3856548.2850761595,251220.0
-2699229.641878779,-4291887.698549618,3856546.5594833195,251221.0
-2699225.49915953,-4291892.07565282,3856544.488286496,251222.0
-2699220.981372988,-4291891.811640327,3856532.3339455826,251223.0
-2699221.5888785683,-4291896.974186489,3856532.441768669,251224.0
-2699220.4683928536,-4291900.912210218,3856530.432789454,251225.0
-2699221.7818215624,-4291902.9742251495,3856527.975755552,251226.0
-2699219.7038133843,-4291906.156667488,3856525.097684226,251227.0
-2699217.558573678,-4291909.964075932,3856522.2095395303,251228.0
-2699216.3837781115,-4291911.652695279,3856518.7066833456,251229.0
-2699216.3274737336,-4291915.554383757,3856514.2731582695,251230.0
-2699213.458931586,-4291914.191002596,3856508.4160890193,251231.0
-2699215.895659897,-4291921.414538554,3856508.1621568743,251232.0
-2699219.1102469913,-4291928.339294508,3856512.588127682,251233.0
-2699221.315201685,-4291928.6363815265,3856506.5712904013,251234.0
-2699220.504928902,-4291933.52093308,3856504.4692462278,251235.0
-2699219.27239484,-4291934.855643896,3856496.816729603,251236.0
-2699215.08612867,-4291935.488378947,3856490.5563060287,251237.0
-2699210.7347238655,-4291935.981187156,3856485.32413882,251238.0
-2699210.502761433,-4291943.794981189,3856485.366751615,251239.0
-2699209.985330013,-4291947.083884418,3856483.258963321,251240.0
-2699207.4203314176,-4291951.559794651,3856480.6852729004,251241.0
-2699209.0721294032,-4291954.770971442,3856477.2582203196,251242.0
-2699207.0612232545,-4291957.276698713,3856470.521238975,251243.0
-2699205.755030975,-4291959.712658035,3856467.7511494365,251244.0
-2699208.913026781,-4291964.840503722,3856465.872163246,251245.0
-2699202.337691949,-4291968.992008202,3856460.166401566,251246.0
-2699202.019372217,-4291974.330101051,3856456.1249684836,251247.0
-2699203.7222611248,-4291976.460422288,3856451.9041324244,251248.0
-2699200.4868061636,-4291981.0818875125,3856447.6403244673,251249.0
-2699201.112576567,-4291984.341210504,3856442.9290493787,251250.0
-2699197.6570980013,-4291988.076488367,3856440.4372540326,251251.0
-2699195.2820412954,-4291991.13177643,3856436.7611603416,251252.0
-2699193.333255162,-4292001.071331919,3856436.273657833,251253.0
-2699189.354592635,-4292000.4638438625,3856431.4996978347,251254.0
-2699189.6760467784,-4292013.5000051,3856428.3751708013,251255.0
-2699186.685885641,-4292010.852590034,3856425.0792840277,251256.0
-2699185.9652157947,-4292014.165799411,3856419.9099624366,251257.0
-2699189.778941928,-4292018.0248884065,3856422.6782783447,251258.0
-2699189.248005401,-4292021.739739789,3856418.2387522087,251259.0
-2699187.274070719,-4292022.080914704,3856417.4616978643,251260.0
-2699187.2363818903,-4292024.703117616,3856416.9993563886,251261.0
-2699184.76197901,-4292029.6350909555,3856412.426158139,251262.0
-2699181.5796517213,-4292031.473772211,3856410.239200994,251263.0
-2699178.680511416,-4292032.878590246,3856407.2041975106,251264.0
-2699175.029265245,-4292033.878077207,3856401.6403699075,251265.0
-2699173.0768317226,-4292034.262711204,3856401.2148528495,251266.0
-2699167.932879308,-4292034.4704367975,3856405.7198136616,251267.0
-2699169.600145266,-4292039.038628829,3856411.092034708,251268.0
-2699174.2584070764,-4292041.901910282,3856413.944868216,251269.0
-2699172.2148731067,-4292037.054466156,3856409.0872640293,251270.0
-2699170.363304172,-4292036.728709033,3856401.7656173273,251271.0
-2699171.133420936,-4292043.453307532,3856405.456780531,251272.0
-2699176.567339048,-4292045.425058084,3856410.3610253157,251273.0
-2699175.328530228,-4292044.010371349,3856410.8735381197,251274.0
-2699176.1751141623,-4292044.307056077,3856413.292117835,251275.0
-2699177.783415896,-4292043.429608389,3856419.5874293773,251276.0
-2699172.5421899497,-4292041.906989087,3856412.809412606,251277.0
-2699173.74665746,-4292040.155274487,3856412.58795587,251278.0
-2699172.8805120224,-4292040.343250582,3856413.492578307,251279.0
-2699174.992054602,-4292042.028254492,3856417.786752258,251280.0
-2699176.1918092766,-4292047.991630893,3856419.267684241,251281.0
-2699177.6632481064,-4292047.464802992,3856421.084183577,251282.0
-2699177.4360297923,-4292046.022194691,3856415.5121367453,251283.0
-2699177.79840202,-4292048.213849429,3856415.9690744183,251284.0
-2699175.8406598503,-4292043.792766096,3856413.294998754,251285.0
-2699173.228846685,-4292044.335534799,3856409.528833565,251286.0
-2699170.430489367,-4292044.649758106,3856409.454771952,251287.0
-2699168.265400186,-4292042.228745808,3856399.0389900114,251288.0
-2699171.053687556,-4292047.463542742,3856407.360330143,251289.0
-2699169.8605273636,-4292053.5358839,3856413.152090872,251290.0
-2699164.10087986,-4292051.169905748,3856407.184317676,251291.0
-2699160.238032523,-4292048.917964087,3856402.518261556,251292.0
-2699161.2875992255,-4292053.010341914,3856402.325007305,251293.0
-2699163.633811777,-4292056.910576873,3856398.0434483397,251294.0
-2699171.3660042756,-4292062.253162753,3856396.1721387,251295.0
-2699172.434253563,-4292067.018308398,3856392.265170338,251296.0
-2699175.754391627,-4292064.889908794,3856388.780004207,251297.0
-2699180.1135719656,-4292077.765085812,3856387.8052399317,251298.0
-2699176.9270093017,-4292073.348463984,3856378.0593885025,251299.0
-2699179.3715815716,-4292081.9838573625,3856374.3869918305,251300.0
-2699185.135635218,-4292085.590030276,3856375.8422760917,251301.0
-2699180.8054106613,-4292074.9462625645,3856362.3775932263,251302.0
-2699182.2736378172,-4292087.581453401,3856358.462221519,251303.0
-2699186.2402526783,-4292089.474753605,3856358.512827538,251304.0
-2699189.886150222,-4292094.541973587,3856354.9690964166,251305.0
-2699187.1731863734,-4292076.731755469,3856345.5080196466,251306.0
-2699193.813395037,-4292085.177921561,3856342.6800636933,251307.0
-2699197.53965661,-4292090.771896953,3856341.994824318,251308.0
-2699201.4113622364,-4292088.26004727,3856339.2122122557,251309.0
-2699203.661979337,-4292085.864353672,3856335.99521059,251310.0
-2699205.779944432,-4292086.171950761,3856326.7579977317,251311.0
-2699211.716763042,-4292092.4616560275,3856325.1401446927,251312.0
-2699214.989539032,-4292096.543594431,3856323.1810654732,251313.0
-2699220.951162162,-4292103.694701932,3856314.420060078,251314.0
-2699220.7280727145,-4292102.135579476,3856314.9552972466,251315.0
-2699225.5476109884,-4292103.698195255,3856313.0196665996,251316.0
-2699225.1562214172,-4292096.989105072,3856306.9829156147,251317.0
-2699225.4964688886,-4292097.153315265,3856298.646353604,251318.0
-2699228.5959868403,-4292103.395139925,3856297.1514498075,251319.0
-2699231.006547921,-4292105.683315803,3856295.326193573,251320.0
-2699232.117880245,-4292107.432333517,3856292.031925593,251321.0
-2699236.5877689603,-4292113.737470362,3856288.0512099364,251322.0
-2699237.858887443,-4292113.552564856,3856285.679969268,251323.0
-2699239.0712693813,-4292111.203616054,3856282.2415299835,251324.0
-2699237.7629985097,-4292118.979157048,3856279.336925801,251325.0
-2699247.2242879644,-4292121.172831785,3856277.560203105,251326.0
-2699250.921087133,-4292113.2381910095,3856267.9878963167,251327.0
-2699251.923362631,-4292117.126070281,3856264.9236080684,251328.0
-2699252.811771422,-4292120.844212541,3856261.310071726,251329.0
-2699256.384544762,-4292119.619881543,3856256.6066392185,251330.0
-2699260.20335714,-4292123.942831855,3856254.296307348,251331.0
-2699264.872944389,-4292125.849135952,3856252.5642983816,251332.0
-2699267.33932845,-4292124.957669386,3856242.6665762807,251333.0
-2699269.462766436,-4292129.10350065,3856241.1771324915,251334.0
-2699274.9328558384,-4292131.754009921,3856235.8179987874,251335.0
-2699272.604878706,-4292127.86328252,3856230.3271587025,251336.0
-2699274.2401387696,-4292131.558175568,3856225.698648531,251337.0
-2699278.2456889655,-4292136.201349157,3856223.2491976833,251338.0
-2699281.554311969,-4292138.937943671,3856218.8563761436,251339.0
-2699286.736596833,-4292143.398566172,3856219.693240777,251340.0
-2699288.44183504,-4292143.253319482,3856214.3008068195,251341.0
-2699291.895608892,-4292150.280043391,3856210.530122664,251342.0
-2699293.64848943,-4292148.267712177,3856207.276814114,251343.0
-2699300.081316579,-4292149.91463191,3856202.7180116163,251344.0
-2699305.444025235,-4292156.278008626,3856206.0803358937,251345.0
-2699303.255303524,-4292153.978383874,3856190.355138412,251346.0
-2699304.605913827,-4292155.089529678,3856186.88791393,251347.0
-2699308.610924553,-4292154.6714870995,3856183.2477844823,251348.0
-2699309.8357532774,-4292154.967103879,3856178.625898161,251349.0
-2699315.9620926753,-4292160.3220279,3856176.4890320427,251350.0
-2699320.2498567505,-4292163.831065983,3856173.144814111,251351.0
-2699321.474737824,-4292165.324028723,3856166.6603935105,251352.0
-2699324.8491198677,-4292169.645363925,3856163.5217997925,251353.0
-2699327.3621489187,-4292172.816117856,3856159.311990895,251354.0
-2699329.0258892453,-4292181.943474079,3856153.656378058,251355.0
-2699335.0115928766,-4292185.427994159,3856150.9001223207,251356.0
-2699333.079393932,-4292180.768052804,3856142.070038719,251357.0
-2699336.4696146576,-4292177.3622388225,3856142.3551956415,251358.0
-2699340.0866477457,-4292169.632244439,3856135.148131192,251359.0
-2699342.309401127,-4292174.845246772,3856130.158187586,251360.0
-2699343.663897081,-4292179.21077257,3856128.5704140207,251361.0
-2699344.6263274727,-4292178.309265317,3856122.461014912,251362.0
-2699351.386829537,-4292188.67108411,3856120.385341167,251363.0
-2699352.6721788296,-4292185.198818247,3856117.1787080043,251364.0
-2699357.6642608102,-4292189.3530587405,3856115.094691712,251365.0
-2699357.897630825,-4292200.4364613155,3856114.7267046897,251366.0
-2699364.0121396743,-4292205.834639707,3856111.0323895137,251367.0
-2699365.8009917396,-4292203.25541722,3856107.4405095833,251368.0
-2699367.2409479343,-4292204.786132149,3856102.9233115544,251369.0
-2699367.4669990237,-4292206.90020895,3856101.372163553,251370.0
-2699369.9468094264,-4292206.536085881,3856096.196407011,251371.0
-2699373.590345269,-4292210.381340887,3856095.880007021,251372.0
-2699375.0663027945,-4292207.329766173,3856086.1755370353,251373.0
-2699378.903833563,-4292203.9311184,3856084.1434688205,251374.0
-2699381.1605665702,-4292204.004220567,3856081.005409995,251375.0
-2699379.668059982,-4292205.510072197,3856079.0705090156,251376.0
-2699383.275112963,-4292206.515385853,3856079.5314962645,251377.0
-2699385.557386259,-4292208.360541431,3856081.2742088665,251378.0
-2699380.7836133186,-4292211.373231728,3856083.7549964716,251379.0
-2699379.7846329813,-4292208.498668035,3856083.95555711,251380.0
-2699379.1771483095,-4292205.115652389,3856083.1466793544,251381.0
-2699377.4491573544,-4292200.995366393,3856080.3107416914,251382.0
-2699376.414071664,-4292199.534732911,3856079.793006057,251383.0
-2699379.8844209136,-4292199.644042631,3856080.8516313606,251384.0
-2699382.07617378,-4292200.183764724,3856081.7971136617,251385.0
-2699381.668298517,-4292200.482237212,3856081.9065099475,251386.0
-2699377.726948883,-4292201.627246506,3856082.767056622,251387.0
-2699378.656489115,-4292198.41108858,3856079.2905180324,251388.0
-2699379.9423668827,-4292208.878598399,3856086.767365641,251389.0
-2699380.8845710526,-4292210.177131405,3856085.9896012773,251390.0
-2699383.23596456,-4292208.956297947,3856088.440572724,251391.0
-2699379.1029869695,-4292198.765439274,3856081.858370638,251392.0
-2699377.1440300345,-4292196.941846913,3856080.937204463,251393.0
-2699377.0287392316,-4292207.152768333,3856086.519273995,251394.0
-2699372.8996355603,-4292199.469989074,3856081.4226475502,251395.0
-2699372.7331585907,-4292199.091377258,3856081.786869275,251396.0
-2699374.2813188434,-4292200.624852777,3856082.3086669734,251397.0
-2699378.4225350614,-4292197.801585153,3856083.371026726,251398.0
-2699378.9146882165,-4292197.687760764,3856085.528561952,251399.0
-2699378.369505329,-4292200.9127875315,3856088.2146501327,251400.0
-2699376.021665477,-4292201.981752341,3856083.461901275,251401.0
-2699379.2506067427,-4292207.8056147965,3856086.7081851745,251402.0
-2699376.717845094,-4292208.8215313675,3856085.8104780214,251403.0
