X_u,Y_u,Z_u,RxTime_s
-2699423.6317375875,-4293714.494216719,3854635.305435475,406518.0
-2699426.0388580943,-4293715.953113006,3854640.965035868,406519.0
-2699431.2455955967,-4293724.519286183,3854642.2265299936,406520.0
-2699421.887094124,-4293717.485018112,3854648.04959728,406521.0
-2699416.8373257555,-4293711.707373498,3854644.3662005626,406522.0
-2699422.9498628704,-4293718.699864621,3854636.999323183,406523.0
-2699422.190570663,-4293718.337309427,3854639.2766638324,406524.0
-2699414.674513257,-4293718.2808712,3854632.750180435,406525.0
-2699418.3168114494,-4293714.398710423,3854647.264830042,406526.0
-2699417.386039313,-4293719.348933569,3854641.435729015,406527.0
-2699414.9446023777,-4293716.541921694,3854646.5967150396,406528.0
-2699432.594709311,-4293730.002100101,3854642.9113221467,406529.0
-2699421.2811503983,-4293724.334073381,3854648.6167071452,406530.0
-2699420.8572170585,-4293725.0079929205,3854652.7768060705,406531.0
-2699422.141892241,-4293723.475745472,3854651.3122049756,406532.0
-2699423.695725108,-4293721.463684612,3854655.1745580216,406533.0
-2699428.0418672697,-4293725.622476199,3854649.282422773,406534.0
-2699431.7593793413,-4293726.720591572,3854650.4036648497,406535.0
-2699422.2613854087,-4293726.019091834,3854659.4558964157,406536.0
-2699421.3042069143,-4293722.101359132,3854646.326717469,406537.0
-2699423.1806813274,-4293719.715251746,3854644.6404316444,406538.0
-2699424.1504224394,-4293720.2032224145,3854646.1619160967,406539.0
-2699427.569275719,-4293724.044285331,3854640.767106429,406540.0
-2699424.049878124,-4293720.0174089,3854642.9670637785,406541.0
-2699418.3389537097,-4293723.426851808,3854644.806155902,406542.0
-2699432.8493509693,-4293723.896159164,3854636.0832870533,406543.0
-2699431.0257634316,-4293722.966935333,3854643.0294361305,406544.0
-2699429.6985888975,-4293716.003836351,3854645.333018302,406545.0
-2699422.4419160243,-4293715.114351778,3854646.220269259,406546.0
-2699426.617881897,-4293719.122724356,3854643.7041314393,406547.0
-2699423.8970416337,-4293711.4748595,3854661.585758283,406548.0
-2699419.198163335,-4293705.321767569,3854661.570210042,406549.0
-2699421.9213084737,-4293696.509196405,3854647.88759653,406550.0
-2699423.052492719,-4293700.692627427,3854655.8363695736,406551.0
-2699421.0960794236,-4293695.928764543,3854655.726229005,406552.0
-2699423.3251981665,-4293691.865211889,3854655.836992882,406553.0
-2699427.8758730115,-4293690.646540373,3854660.9630295034,406554.0
-2699426.5317216674,-4293682.571531005,3854664.917436363,406555.0
-2699432.1699870937,-4293680.177117028,3854664.4922339707,406556.0
-2699437.521075291,-4293675.957234014,3854662.847075568,406557.0
-2699437.884947439,-4293672.301845162,3854666.3812792758,406558.0
-2699442.8739583553,-4293670.492959336,3854670.6297660233,406559.0
-2699449.3275943347,-4293668.2701067375,3854676.722544697,406560.0
-2699450.9242027355,-4293662.781771975,3854680.4452507063,406561.0
-2699449.578023007,-4293657.67653474,3854687.4779650248,406562.0
-2699452.3454596214,-4293649.688075103,3854687.4354811655,406563.0
-2699455.122450895,-4293649.118795709,3854693.275081375,406564.0
-2699459.141194383,-4293644.536743866,3854695.510177948,406565.0
-2699462.107005463,-4293642.948227737,3854694.3509874223,406566.0
-2699462.399010785,-4293633.974399451,3854696.888789222,406567.0
-2699463.134242871,-4293629.177780593,3854700.929714612,406568.0
-2699466.2515264875,-4293622.901827802,3854706.3177188234,406569.0
-2699465.7670636512,-4293620.849441053,3854706.675400062,406570.0
