X_u,Y_u,Z_u,RxTime_s
,,,422815.0
1702742.1567129167,2703104.427801726,-1286826.3445262595,0.0
,,,422815.0
,,,0.0
-2700361.856530271,-4292524.344765951,3855235.0016542966,422816.0
-2700367.138581254,-4292530.348191104,3855252.387313982,422817.0
-2700365.6442081654,-4292523.377047597,3855240.4881377686,422818.0
-2700362.0930205607,-4292523.92672209,3855265.023594374,422819.0
-2700367.6799427895,-4292527.888485072,3855261.7110133953,422820.0
-2700370.004484564,-4292527.111824564,3855254.033583944,422821.0
-2700371.5351962773,-4292531.159035399,3855258.1649679733,422822.0
-2700366.3031894295,-4292524.509206482,3855248.4338552365,422823.0
-2700369.296308096,-4292516.183744741,3855247.530354461,422824.0
-2700369.589720077,-4292516.045078688,3855243.7511685747,422825.0
-2700371.3807690693,-4292512.958711345,3855240.3220898546,422826.0
-2700369.392612119,-4292519.775380118,3855242.278880932,422827.0
-2700366.592411029,-4292515.795769228,3855240.70082818,422828.0
-2700364.3021699237,-4292516.429184407,3855241.2747216374,422829.0
-2700363.5196488234,-4292518.619335137,3855242.711200415,422830.0
-2700366.986923638,-4292526.049148596,3855251.114794398,422831.0
-2700367.956983139,-4292530.060980497,3855251.5292615895,422832.0
-2700364.6576791033,-4292528.388413318,3855255.1469105487,422833.0
-2700368.4969266583,-4292536.887593583,3855265.2228028006,422834.0
-2700367.7976603094,-4292532.905031176,3855268.9695454207,422835.0
-2700370.1965297614,-4292533.414385483,3855271.6056712344,422836.0
-2700365.885125604,-4292522.337381778,3855262.63494348,422837.0
-2700359.0846542674,-4292514.935627492,3855264.607462215,422838.0
-2700348.8025052277,-4292508.494436523,3855262.309348816,422839.0
-2700351.2701117625,-4292506.714363118,3855263.125872341,422840.0
-2700356.0475265877,-4292500.504370682,3855268.8098968007,422841.0
-2700350.2963918215,-4292501.383340452,3855274.3600444794,422842.0
-2700346.0038629053,-4292503.213306569,3855276.2313237945,422843.0
-2700343.763999474,-4292503.603951637,3855273.9021007465,422844.0
-2700343.6693870965,-4292507.517381424,3855277.242917562,422845.0
-2700339.527604416,-4292499.938263817,3855280.205189905,422846.0
-2700354.049012673,-4292520.8005295405,3855348.3305016872,422847.0
-2700354.2837952287,-4292521.730285684,3855352.659475082,422848.0
-2700355.515686667,-4292535.161226372,3855354.0409948723,422849.0
-2700343.8885187963,-4292528.621649897,3855331.198850064,422850.0
-2700336.322652899,-4292531.3460014295,3855310.8465197594,422851.0
-2700330.8576723137,-4292529.114703245,3855311.127589325,422852.0
-2700315.222593448,-4292519.054420812,3855278.7585294913,422853.0
-2700310.661824072,-4292519.866745564,3855276.471543416,422854.0
-2700311.157644349,-4292533.672998973,3855272.541002384,422855.0
-2700299.620116887,-4292523.949940477,3855271.8070890456,422856.0
-2700294.1504360344,-4292519.740693161,3855275.1388404896,422857.0
-2700292.4726211033,-4292525.695894751,3855270.980513418,422858.0
-2700295.8662247546,-4292547.798346676,3855273.1421582205,422859.0
-2700282.891158538,-4292530.072640184,3855268.869962906,422860.0
-2700279.6831141743,-4292532.343860148,3855265.674996586,422861.0
-2700273.788093433,-4292532.95071462,3855263.025433337,422862.0
-2700269.0183429075,-4292535.640433014,3855260.6273239884,422863.0
-2700267.2151980954,-4292536.171266228,3855263.2217277642,422864.0
-2700260.893287941,-4292539.878956423,3855261.161054884,422865.0
-2700259.6225843653,-4292542.041641239,3855260.153471399,422866.0
-2700257.0919064805,-4292546.478467614,3855260.338639002,422867.0
-2700253.591341898,-4292546.768914821,3855258.301175902,422868.0
-2700249.381663194,-4292548.434067458,3855253.416317539,422869.0
-2700250.4197016354,-4292552.638565332,3855258.7302398956,422870.0
-2700248.896983862,-4292552.870416152,3855254.822414,422871.0
-2700240.339178166,-4292555.633190157,3855252.4463784606,422872.0
-2700236.3128257063,-4292561.408177056,3855258.1242523855,422873.0
-2700234.361082758,-4292563.714974206,3855254.5570493573,422874.0
-2700230.0035922546,-4292567.211299423,3855259.2274199943,422875.0
-2700230.7241651285,-4292567.322412305,3855255.555855484,422876.0
-2700229.535893193,-4292574.250578574,3855258.888060716,422877.0
-2700229.8421251387,-4292577.822618657,3855258.9197107754,422878.0
-2700224.9203357734,-4292581.214249932,3855252.6429261197,422879.0
-2700222.639635906,-4292585.852292863,3855246.0754101356,422880.0
-2700219.0276929406,-4292588.704856157,3855250.876322787,422881.0
-2700215.8753436226,-4292589.372829216,3855248.8760532336,422882.0
-2700213.453638558,-4292591.605512179,3855252.6658607037,422883.0
-2700221.9471403924,-4292616.4845008375,3855253.89602894,422884.0
-2700211.094157878,-4292606.090804187,3855252.950136406,422885.0
-2700209.694338683,-4292614.945295687,3855256.875341463,422886.0
-2700210.0682671983,-4292621.889047159,3855248.7160750953,422887.0
-2700206.254200886,-4292626.0466935085,3855245.669297791,422888.0
-2700200.701066287,-4292626.7701477185,3855238.7484108107,422889.0
-2700192.552395155,-4292619.391574035,3855240.0556211905,422890.0
-2700182.416492703,-4292619.664001202,3855240.6100001233,422891.0
-2700179.0651583457,-4292619.219152954,3855238.580510784,422892.0
-2700172.5295100277,-4292621.963146712,3855232.322536772,422893.0
-2700168.086480053,-4292620.932473078,3855235.5890132063,422894.0
-2700166.1835944597,-4292623.74970422,3855229.8070737007,422895.0
-2700167.392058835,-4292626.39471305,3855227.242076901,422896.0
-2700170.7346777646,-4292639.9274171805,3855234.3839523583,422897.0
-2700173.6184545797,-4292646.663051035,3855224.2223670455,422898.0
-2700175.062813167,-4292640.805744211,3855212.3875626028,422899.0
-2700176.4733726797,-4292642.848884692,3855208.236915346,422900.0
-2700182.455514379,-4292637.659261559,3855206.40656122,422901.0
-2700185.3486374225,-4292636.141759444,3855203.1429165145,422902.0
-2700187.0520687886,-4292643.677477306,3855198.836961544,422903.0
-2700188.0554064084,-4292651.864237411,3855198.605288393,422904.0
-2700191.2858045395,-4292660.947242689,3855192.0597871146,422905.0
-2700191.3959171674,-4292661.5993418,3855192.0418511573,422906.0
-2700192.8824355816,-4292663.406169171,3855193.7423314014,422907.0
-2700195.2047623694,-4292662.896888567,3855189.607723538,422908.0
-2700202.442007633,-4292669.146457463,3855190.403253474,422909.0
-2700203.044037169,-4292665.401499995,3855187.4431216433,422910.0
-2700213.275978034,-4292673.751625136,3855197.5170721225,422911.0
-2700218.541450597,-4292675.209496656,3855202.3210118157,422912.0
-2700219.105460222,-4292672.884278337,3855190.8202649285,422913.0
-2700223.019810109,-4292671.560229838,3855183.007069785,422914.0
-2700219.273933639,-4292670.679632402,3855160.0145973703,422915.0
-2700218.6634494145,-4292669.206228682,3855157.363033362,422916.0
-2700222.370900998,-4292663.982769887,3855149.5615218068,422917.0
-2700226.6122629587,-4292667.979735658,3855156.0309329163,422918.0
-2700231.662891699,-4292672.393820135,3855150.062634603,422919.0
-2700233.6537339804,-4292674.950269978,3855144.8687587376,422920.0
-2700235.825187959,-4292685.864242218,3855144.603466365,422921.0
-2700232.8274132414,-4292684.590930401,3855138.2953626052,422922.0
-2700231.812888583,-4292686.103220742,3855134.3804786815,422923.0
-2700226.5820578933,-4292691.696245738,3855127.54791781,422924.0
-2700222.121356514,-4292695.6616228,3855125.6190245915,422925.0
-2700227.5400311993,-4292703.3596997205,3855132.6010693875,422926.0
-2700225.3912849138,-4292707.617634344,3855131.63495591,422927.0
-2700219.4686542084,-4292715.984624855,3855124.9815623043,422928.0
-2700220.253495667,-4292718.176810801,3855124.517354672,422929.0
-2700218.9571024873,-4292723.537065819,3855122.7593086814,422930.0
-2700216.630150365,-4292732.802048921,3855133.4515459575,422931.0
-2700218.5869124806,-4292729.572182736,3855127.3187250756,422932.0
-2700222.63949249,-4292731.5515038,3855124.558393699,422933.0
-2700223.935550088,-4292728.213241092,3855119.6746220007,422934.0
-2700220.4114365187,-4292724.673053739,3855114.3492906527,422935.0
-2700223.2558294693,-4292730.274490465,3855122.5100257974,422936.0
-2700224.730313478,-4292724.18817164,3855139.405752056,422937.0
-2700228.09662487,-4292732.209363122,3855145.4860529336,422938.0
-2700229.6316070273,-4292736.894074936,3855140.3059252715,422939.0
-2700237.914395975,-4292740.441890201,3855133.051970179,422940.0
-2700235.880983247,-4292728.745972559,3855124.6641311836,422941.0
-2700230.39021313,-4292754.976575833,3855110.04322515,422942.0
-2700231.7856372003,-4292748.347982453,3855097.938537829,422943.0
-2700232.6987144984,-4292720.733774312,3855081.4564782893,422944.0
-2700235.6571559086,-4292725.540281763,3855086.302280247,422945.0
-2700236.8713918286,-4292727.382047193,3855074.1936566536,422946.0
-2700232.0214548684,-4292721.337209427,3855075.000017795,422947.0
-2700233.4676168887,-4292714.905006384,3855067.630498435,422948.0
-2700234.6049808813,-4292726.305695297,3855070.112747565,422949.0
-2700239.161028188,-4292734.456192053,3855076.816312914,422950.0
-2700235.424177454,-4292725.475100365,3855077.824805976,422951.0
-2700235.068525024,-4292737.308637622,3855082.240461449,422952.0
-2700231.242660435,-4292738.239820188,3855085.6878730445,422953.0
-2700228.344967255,-4292743.694623445,3855088.602980037,422954.0
