X_u,Y_u,Z_u,RxTime_s
-2718400.2982010506,-4156759.9500813624,3099598.4243584834,4196.0
3645690.7251958307,2118801.644966364,2425378.9558956097,0.0
-2375183.826585209,-3121690.9037176473,2956759.4238815648,4197.0
-2375379.814107811,-3121663.125743653,2956943.025257641,4198.0
-2375573.8201038064,-3121633.5909156,2957126.331841381,4199.0
-2375741.0988201792,-3121606.5655068504,2957279.53859751,4200.0
-2375903.066805993,-3121583.779950578,2957439.940771091,4201.0
-2376072.3261660202,-3121561.330095237,2957594.30048922,4202.0
-2376232.4178709895,-3121536.392605869,2957749.5479805893,4203.0
-2376405.1489890562,-3121529.1928952564,2957918.601090015,4204.0
-2376562.5023422753,-3121502.0194620136,2958071.280583777,4205.0
-2376726.3943641447,-3121475.260010118,2958222.600188483,4206.0
-2376894.5728813675,-3121448.9417091333,2958381.0612372444,4207.0
-2377051.5379155283,-3121419.6973751457,2958530.1708902842,4208.0
-2377220.500211921,-3121401.295221142,2958701.120510811,4209.0
-2377387.478550606,-3121372.601168731,2958848.6051479587,4210.0
-2377545.7644174574,-3121346.2364372956,2958997.4012889974,4211.0
-2377713.091669318,-3121323.956505107,2959152.3801786304,4212.0
-2377877.0806292635,-3121295.0332890563,2959313.923641792,4213.0
-2378048.0590200694,-3121278.818919602,2959474.331291124,4214.0
-2378209.8927846774,-3121257.5489968914,2959631.688026975,4215.0
-2378376.0328484005,-3121230.715763226,2959785.4676596043,4216.0
-2378542.88074044,-3121211.1166441,2959946.6526852506,4217.0
-2378712.037515306,-3121190.9918091474,2960103.758342079,4218.0
-2378878.9066572012,-3121167.8580790814,2960261.48200737,4219.0
-2379046.181534113,-3121147.0881567677,2960421.1587228337,4220.0
-2379211.779728426,-3121124.2604964734,2960578.6825017645,4221.0
-2379384.080292498,-3121105.9079059083,2960743.2720964183,4222.0
-2379549.642446051,-3121082.746797049,2960898.0962103414,4223.0
-2379717.1181545276,-3121062.2654222446,2961052.73107123,4224.0
-2379888.3705853997,-3121043.4892086303,2961214.770578164,4225.0
-2380056.1315203398,-3121020.6744185803,2961371.1127173128,4226.0
-2380226.0492658173,-3121006.186365439,2961537.1496019806,4227.0
-2380392.6919254945,-3120987.0880576395,2961696.1440232797,4228.0
-2380562.7608738327,-3120968.136356188,2961858.7562192143,4229.0
-2380732.751182159,-3120950.3109125854,2962017.9288668865,4230.0
-2380898.5405312744,-3120928.320852668,2962171.706057361,4231.0
-2381069.8650140604,-3120910.43928809,2962338.117554256,4232.0
-2381240.3262577057,-3120895.1031621406,2962501.2818372296,4233.0
-2381410.576683089,-3120874.592412308,2962663.1672294647,4234.0
-2381582.7682285774,-3120858.185433356,2962825.5487975585,4235.0
-2381754.9971068567,-3120843.2568424297,2962988.4210560382,4236.0
-2381926.5907970252,-3120824.6161361975,2963152.823336926,4237.0
-2382100.8624512143,-3120810.2691622097,2963318.3043409856,4238.0
-2382268.4015944786,-3120792.1582902903,2963482.6087740823,4239.0
-2382439.485322805,-3120778.0801503877,2963644.805217922,4240.0
-2382613.5563472114,-3120761.7853286876,2963810.8367862133,4241.0
-2382785.786703417,-3120747.423213969,2963974.1741076163,4242.0
-2382959.1616713847,-3120768.578517613,2964161.241185454,4243.0
-2383128.420654785,-3120715.6038080417,2964302.915137628,4244.0
-2383302.6700544823,-3120717.815733023,2964479.1464891965,4245.0
-2383475.6531835794,-3120685.8378625163,2964632.0123588503,4246.0
-2383649.3322383696,-3120670.4020726094,2964796.2319706995,4247.0
-2383821.2874020212,-3120652.205238808,2964961.9003712786,4248.0
-2383995.551405603,-3120638.005801289,2965127.9283872154,4249.0
-2384169.8558264542,-3120623.31687713,2965292.5137062,4250.0
-2384345.9142294535,-3120610.4262762857,2965461.9205145217,4251.0
-2384520.8404428107,-3120597.069849275,2965628.696608048,4252.0
-2384693.6734194956,-3120581.49316769,2965791.842321478,4253.0
-2384867.219797075,-3120568.150773761,2965960.223018207,4254.0
-2385043.161310437,-3120554.7700903104,2966127.532746776,4255.0
-2385218.436487382,-3120541.1519680135,2966293.7762206094,4256.0
-2385393.182174546,-3120526.9231041507,2966460.337959698,4257.0
-2385570.017930724,-3120512.482321314,2966628.266232816,4258.0
-2385751.4780330677,-3120512.2401083764,2966806.1107734013,4259.0
-2385924.722122234,-3120492.4912639298,2966968.7365685906,4260.0
-2386106.4913053033,-3120484.372997302,2967143.6295652683,4261.0
-2386278.919213066,-3120470.46057035,2967306.9235265013,4262.0
-2386454.582756368,-3120459.4479797203,2967473.159986384,4263.0
-2386633.547358727,-3120446.839252891,2967644.422488219,4264.0
-2386819.2909486685,-3120446.2938974896,2967824.5659872876,4265.0
-2386998.2175461543,-3120435.6343999845,2967994.265189097,4266.0
-2387176.7526533236,-3120426.1702080835,2968166.8193749273,4267.0
-2387351.4283280745,-3120414.299512693,2968334.9119440503,4268.0
-2387529.1616875567,-3120404.016345192,2968502.6884631114,4269.0
-2387708.9432677124,-3120394.73197703,2968673.2142687226,4270.0
-2387889.473388837,-3120387.9450927475,2968849.7237593844,4271.0
-2388068.3411384663,-3120372.8189345207,2969017.3344762316,4272.0
-2388250.150751811,-3120367.168840945,2969194.1448146845,4273.0
-2388428.777512842,-3120359.727999985,2969366.9597734706,4274.0
-2388610.4875961468,-3120350.9107784918,2969538.1694324636,4275.0
-2388790.767419622,-3120345.5616232776,2969712.605336299,4276.0
-2388969.79759617,-3120335.760350685,2969882.5430411287,4277.0
-2389152.481926119,-3120327.2352601504,2970058.1562605156,4278.0
-2389333.302983566,-3120319.3377377004,2970228.987823228,4279.0
-2389510.754314944,-3120308.5149423857,2970401.777841212,4280.0
-2389696.2127415803,-3120306.5489016892,2970580.008109988,4281.0
-2389876.140982862,-3120298.4027637183,2970753.8349711304,4282.0
-2390056.516524677,-3120290.7927428717,2970923.6436723317,4283.0
-2390238.926493014,-3120284.157602403,2971098.9737706445,4284.0
-2390420.4856904503,-3120275.52295606,2971273.3977202475,4285.0
-2390604.6521812947,-3120270.1923937183,2971450.18947548,4286.0
-2390788.682714759,-3120266.9162869654,2971627.040808562,4287.0
-2390973.971219639,-3120261.9976932867,2971801.917256953,4288.0
-2391153.9859923134,-3120254.4800549326,2971975.403384603,4289.0
-2391337.4404826486,-3120250.5235452307,2972150.2883906094,4290.0
-2391524.178940209,-3120249.761355043,2972330.8740123888,4291.0
-2391708.25886709,-3120246.003388399,2972509.319705194,4292.0
-2391892.6076576356,-3120242.5693877833,2972688.6036500023,4293.0
-2392076.2177392677,-3120239.798065668,2972862.7352988264,4294.0
-2392263.5974448794,-3120237.066058311,2973041.9315311057,4295.0
-2392447.3623081637,-3120233.0244629285,2973218.5238065314,4296.0
-2392630.013469263,-3120225.9145602905,2973392.6084052296,4297.0
-2392812.9581103767,-3120220.5907224617,2973570.234670249,4298.0
-2392998.626550523,-3120216.113043184,2973746.3831608235,4299.0
-2393182.5323770773,-3120213.732694481,2973925.125417351,4300.0
-2393371.0668451376,-3120214.826475689,2974108.594740541,4301.0
-2393558.3870752417,-3120217.7377199167,2974289.624545167,4302.0
-2393741.8693596427,-3120209.7110152533,2974464.5336589664,4303.0
-2393927.47270629,-3120208.2465498033,2974641.938007052,4304.0
-2394114.010070172,-3120207.5410525235,2974822.227733163,4305.0
-2394302.418271309,-3120203.268982131,2974999.915062376,4306.0
-2394490.794593486,-3120204.1221911344,2975179.2683528434,4307.0
-2394677.632469579,-3120203.344985351,2975360.7355520027,4308.0
-2394864.6876220666,-3120202.9214911307,2975541.6946544065,4309.0
-2395052.688366872,-3120204.7200720976,2975724.842317283,4310.0
-2395243.2004898987,-3120203.87698045,2975902.2659885758,4311.0
-2395430.171141767,-3120204.548063914,2976084.236517967,4312.0
-2395620.0195543175,-3120211.299981234,2976268.2633705637,4313.0
-2395811.5243317266,-3120208.545223576,2976448.7601786875,4314.0
-2395997.0853293044,-3120208.6438132375,2976629.764952103,4315.0
-2396186.4748140746,-3120210.1226274273,2976811.589853907,4316.0
-2396376.660881273,-3120214.838122592,2976993.860914958,4317.0
-2396567.694892157,-3120217.990233333,2977179.7326189824,4318.0
-2396762.5406078147,-3120224.47904212,2977365.5983915385,4319.0
-2396948.3864443856,-3120224.4395424062,2977547.310529939,4320.0
-2397139.455326693,-3120230.8424679358,2977732.39705072,4321.0
-2397332.3798847864,-3120235.036888064,2977918.452548119,4322.0
-2397521.4991573114,-3120238.355384113,2978101.0670690658,4323.0
-2397714.9476945736,-3120239.7150871884,2978286.379843537,4324.0
-2397904.086443334,-3120242.702314771,2978469.6409791093,4325.0
-2398097.5020817593,-3120244.1869691703,2978654.2015383984,4326.0
-2398289.673638945,-3120251.11054694,2978839.7385902726,4327.0
-2398482.7622431647,-3120256.6651743855,2979025.2157250308,4328.0
-2398676.0712521854,-3120259.1156326043,2979211.1159745753,4329.0
-2398870.0582833597,-3120261.524003525,2979396.135502954,4330.0
-2399062.2860790747,-3120265.8851677105,2979582.660722171,4331.0
-2399256.2429984477,-3120273.772382181,2979771.047499425,4332.0
-2399446.311713472,-3120275.7119574994,2979954.7413639943,4333.0
-2399639.313844724,-3120277.611367716,2980143.0889709876,4334.0
-2399835.828855267,-3120282.5102728116,2980330.193704686,4335.0
-2400028.2661423995,-3120287.849205824,2980518.9200203815,4336.0
-2400223.3137992574,-3120294.269381889,2980707.4684551703,4337.0
-2400416.0255834255,-3120298.4352321182,2980896.224556526,4338.0
-2400610.483335806,-3120303.6644100635,2981082.934569332,4339.0
-2400804.3284841734,-3120309.0759179625,2981269.0830590418,4340.0
-2401002.7574444516,-3120316.3709133603,2981457.4017905137,4341.0
-2401196.516276784,-3120320.1123613557,2981648.9236507607,4342.0
-2401392.7150211367,-3120337.675064855,2981835.2072665375,4343.0
-2401590.554927378,-3120345.9168288005,2982023.9388480466,4344.0
-2401794.2142060734,-3120361.462411291,2982221.950594508,4345.0
-2401984.732720305,-3120362.5149261956,2982409.0016649445,4346.0
-2402185.014121525,-3120375.251062688,2982604.806017273,4347.0
-2402379.5734622674,-3120385.1422362346,2982790.700868789,4348.0
-2402575.531112946,-3120393.7383427783,2982980.630222141,4349.0
-2402771.0434629433,-3120403.9107204154,2983167.5843162965,4350.0
-2402971.4301638245,-3120418.755338776,2983363.214444088,4351.0
-2403167.494216699,-3120428.49838942,2983551.5699529466,4352.0
-2403363.878630769,-3120439.9129503286,2983742.310409897,4353.0
-2403566.123063132,-3120449.3947843616,2983936.0857100077,4354.0
-2403764.3979275674,-3120460.3534074523,2984129.8753881464,4355.0
-2403964.241780372,-3120472.419255458,2984323.052994976,4356.0
-2404161.734912279,-3120483.5083508487,2984518.0263226097,4357.0
-2404361.37156182,-3120494.282998587,2984708.1092280904,4358.0
-2404559.2603789363,-3120503.5525919315,2984900.417162602,4359.0
-2404760.7916851537,-3120514.1529697133,2985095.3102216786,4360.0
-2404964.834444805,-3120535.2558352537,2985302.9919937523,4361.0
-2405165.7597208554,-3120548.651872952,2985500.350584966,4362.0
-2405370.1867514155,-3120566.881094292,2985701.455965159,4363.0
-2405572.4464596435,-3120578.913983719,2985896.9560554656,4364.0
-2405770.580907229,-3120592.2225368596,2986086.5134387035,4365.0
-2405968.948472245,-3120600.7029836383,2986276.6167077683,4366.0
-2406170.465246971,-3120609.9440722927,2986469.214869099,4367.0
-2406372.4076071065,-3120623.4007813036,2986664.3261604127,4368.0
-2406570.784195347,-3120636.093100798,2986856.256521832,4369.0
-2406774.663987035,-3120652.5995711065,2987053.5880789137,4370.0
-2406975.9838548675,-3120667.0329978624,2987252.1882338133,4371.0
-2407181.494106347,-3120681.353517482,2987448.272096372,4372.0
-2407385.002338432,-3120697.075612946,2987647.637467736,4373.0
-2407590.548542051,-3120715.2724321485,2987849.5283354344,4374.0
-2407793.5443115304,-3120730.8389605605,2988045.3405805896,4375.0
-2407996.30059835,-3120745.6440567905,2988240.767793052,4376.0
-2408199.019936379,-3120758.8238081774,2988435.3355242503,4377.0
-2408403.8434289186,-3120777.1239939746,2988632.2949535283,4378.0
-2408610.2892168476,-3120795.1607583077,2988832.526067029,4379.0
-2408814.664675337,-3120811.2631252473,2989032.7487120926,4380.0
-2409020.2851637905,-3120830.23101563,2989232.8781316783,4381.0
-2409225.9911841857,-3120846.9786566966,2989432.2912529297,4382.0
-2409431.9677713723,-3120860.280533345,2989631.162867649,4383.0
-2409640.8265667153,-3120879.065886278,2989835.793537822,4384.0
-2409846.1313769547,-3120891.331354452,2990035.66893064,4385.0
-2410055.142225721,-3120912.256223807,2990240.8837144873,4386.0
-2410263.1631508567,-3120940.119244583,2990443.5974424058,4387.0
-2410466.0226330324,-3120957.3791480535,2990646.848750116,4388.0
-2410673.3475885997,-3120981.9464592054,2990848.3935053064,4389.0
-2410880.891248668,-3120996.314713169,2991049.516782647,4390.0
-2411088.5449952693,-3121017.751965676,2991252.011073365,4391.0
-2411297.442710125,-3121038.132773539,2991454.8051356203,4392.0
-2411504.280684282,-3121057.9902375285,2991656.1212963406,4393.0
-2411709.636134493,-3121078.035089223,2991854.5157627026,4394.0
-2411913.6195226004,-3121099.948119437,2992058.4557299083,4395.0
-2412126.4635679256,-3121127.733332254,2992264.6940708277,4396.0
-2412330.153034513,-3121143.3691284237,2992463.4363120412,4397.0
-2412539.5158883906,-3121168.5847372115,2992672.9902457893,4398.0
-2412743.723337294,-3121184.795219563,2992873.8917063028,4399.0
-2412950.092163048,-3121206.303864104,2993074.783919203,4400.0
-2413160.728641968,-3121231.3972167503,2993276.0809822916,4401.0
-2413370.5615450037,-3121252.012570713,2993482.0272779693,4402.0
-2413580.08053468,-3121275.404929728,2993685.240791312,4403.0
-2413791.5026052506,-3121300.274523909,2993892.3233292527,4404.0
-2414002.4276763946,-3121323.413268414,2994095.2434663614,4405.0
-2414213.506252661,-3121344.629423266,2994300.565972319,4406.0
-2414423.2596946945,-3121368.0912120296,2994505.4847367816,4407.0
-2414636.514106063,-3121392.696875818,2994714.6359653347,4408.0
-2414846.965578648,-3121419.0371349375,2994919.726122447,4409.0
-2415060.1486543277,-3121446.1762495157,2995130.199496416,4410.0
-2415272.333387394,-3121472.056614717,2995337.486088594,4411.0
-2415484.0707921963,-3121497.4045347976,2995545.2850507153,4412.0
-2415696.701874737,-3121522.75278342,2995752.0033968296,4413.0
-2415911.0352933477,-3121551.3616235424,2995962.6610645694,4414.0
-2416125.264525917,-3121579.7643345254,2996173.53987173,4415.0
-2416336.5769138704,-3121604.6361366273,2996379.036964976,4416.0
-2416549.8113793507,-3121630.0175031316,2996591.256036343,4417.0
-2416764.3926462126,-3121653.093081309,2996800.416919953,4418.0
-2416973.6997133004,-3121676.957578071,2997009.9122396167,4419.0
-2417185.703835825,-3121694.659577709,2997220.313964553,4420.0
-2417400.668591691,-3121724.351138741,2997428.1801196337,4421.0
-2417611.039490036,-3121754.3327962128,2997637.476777068,4422.0
-2417824.721045142,-3121783.830844825,2997851.7049138937,4423.0
-2418036.269016252,-3121811.8687155712,2998063.3737167525,4424.0
-2418249.849410789,-3121844.002965484,2998271.84346716,4425.0
-2418460.4118934176,-3121872.7841281514,2998478.5632369965,4426.0
-2418680.5914315036,-3121909.6010990534,2998695.05965511,4427.0
-2418891.6734118233,-3121940.9569243216,2998903.7338176486,4428.0
-2419108.6995374425,-3121971.907110592,2999117.387148023,4429.0
-2419327.7767937956,-3122008.20385297,2999333.2747248346,4430.0
-2419544.460689379,-3122036.3675755,2999543.314412436,4431.0
-2419756.890489781,-3122066.191970399,2999755.594463454,4432.0
-2419975.18433813,-3122096.4727752227,2999969.0145173133,4433.0
-2420192.8152665203,-3122125.3790672114,3000184.4783532126,4434.0
-2420411.2730528456,-3122160.5035453127,3000401.3862650897,4435.0
-2420629.072034526,-3122189.981893696,3000613.260768932,4436.0
-2420848.5200058403,-3122221.8875742136,3000828.9962302097,4437.0
-2421062.4755252674,-3122253.377856396,3001041.481552914,4438.0
-2421282.15826594,-3122287.9199175825,3001258.2368077454,4439.0
-2421503.5052532423,-3122324.0611412358,3001473.8708844613,4440.0
-2421719.7205699026,-3122354.9716518703,3001683.8095789133,4441.0
-2421939.466827347,-3122388.3933906206,3001898.5043943278,4442.0
-2422161.1714828503,-3122423.4589136336,3002116.447675685,4443.0
-2422381.0259468276,-3122453.383874478,3002329.2747646924,4444.0
-2422604.118385174,-3122485.7088011084,3002546.4088250445,4445.0
-2422822.1549600433,-3122517.14189562,3002758.836966443,4446.0
-2423045.802432215,-3122551.331608133,3002977.549379983,4447.0
-2423268.0937167658,-3122584.617913838,3003193.021913868,4448.0
-2423485.9435119247,-3122630.164939991,3003417.4794680993,4449.0
-2423702.571319218,-3122658.9310788102,3003627.5240161186,4450.0
