X_u,Y_u,Z_u,RxTime_s
-2700201.8136225636,-4293149.615788755,3854813.1064324547,348001.0
-2700200.6710936967,-4293151.691603329,3854809.0545406463,348002.0
-2700202.029838262,-4293156.131501951,3854814.213070341,348003.0
-2700205.1371983946,-4293154.901182955,3854812.228458635,348004.0
-2700208.298481453,-4293154.358126544,3854807.9792441255,348005.0
-2700202.8190040435,-4293157.980355117,3854812.529207627,348006.0
-2700192.274866401,-4293153.933930433,3854806.066467748,348007.0
-2700193.3098037825,-4293164.593982249,3854814.150876671,348008.0
-2700196.080084746,-4293168.031248738,3854817.2153870407,348009.0
-2700199.668656308,-4293166.423855279,3854821.5933481674,348010.0
-2700197.308282756,-4293164.837193618,3854820.185841382,348011.0
-2700198.6966557,-4293168.232847925,3854814.7396295713,348012.0
-2700195.073322611,-4293167.336543858,3854816.829108616,348013.0
-2700193.404128842,-4293165.595741572,3854813.5747299455,348014.0
-2700189.1026243237,-4293167.501444146,3854814.6546154157,348015.0
-2700194.835540473,-4293174.790907451,3854819.9154550475,348016.0
-2700189.857167057,-4293173.256896526,3854811.8601764548,348017.0
-2700189.636401241,-4293174.87873287,3854813.964374555,348018.0
-2700187.977971261,-4293174.49848548,3854813.3154804837,348019.0
-2700181.055701588,-4293169.114769004,3854801.497083424,348020.0
-2700177.9409272415,-4293168.997213729,3854800.5737600047,348021.0
-2700181.0308355466,-4293172.924765504,3854800.631343741,348022.0
-2700178.5180940414,-4293173.435459968,3854797.8303936585,348023.0
-2700177.038132011,-4293171.526371034,3854798.414847837,348024.0
-2700178.8185195224,-4293177.484587373,3854802.7329199943,348025.0
-2700187.4984256844,-4293184.770565997,3854805.2869929853,348026.0
-2700194.370688975,-4293190.74860709,3854809.870390989,348027.0
-2700192.729034671,-4293194.369614053,3854808.9336767267,348028.0
-2700192.662516965,-4293191.047944972,3854803.407187729,348029.0
-2700192.6318630003,-4293196.682539888,3854801.632084036,348030.0
-2700192.9825813742,-4293189.3499692995,3854800.683648921,348031.0
-2700193.7422325695,-4293203.883900463,3854802.6871555867,348032.0
-2700192.552737068,-4293200.106185186,3854803.711227929,348033.0
-2700191.7101445748,-4293200.281283093,3854803.138288848,348034.0
-2700194.635901848,-4293202.106738459,3854800.3735986846,348035.0
-2700194.486485067,-4293198.786600128,3854798.5112026725,348036.0
-2700197.5790822776,-4293201.862930193,3854799.8039005334,348037.0
-2700196.3580771596,-4293205.892323883,3854801.695040415,348039.0
-2700187.5131677776,-4293207.974439328,3854797.3414574834,348040.0
-2700180.3420431945,-4293205.153574046,3854790.2599925967,348041.0
-2700174.21587721,-4293204.718160124,3854790.8489990802,348042.0
-2700175.2461075718,-4293205.932204812,3854791.3236947036,348043.0
-2700185.465549814,-4293209.71291679,3854791.3810806205,348044.0
-2700192.241901526,-4293212.041734489,3854791.2358073713,348045.0
-2700184.405226498,-4293206.359422533,3854787.112401596,348046.0
-2700180.6078758975,-4293210.205814131,3854784.360595771,348047.0
-2700179.856352974,-4293221.526895154,3854785.936666711,348048.0
-2700179.0875536427,-4293212.809855838,3854782.731926791,348049.0
-2700182.693492428,-4293216.302785855,3854780.6287621735,348050.0
-2700182.23908658,-4293208.651589202,3854779.649689775,348051.0
-2700185.8583435034,-4293212.405835816,3854780.1132563995,348052.0
-2700186.0077181812,-4293219.453992469,3854778.9074961403,348053.0
-2700184.8386653564,-4293217.766312287,3854781.713192896,348054.0
-2700182.106998694,-4293212.123861117,3854777.4204239477,348055.0
-2700184.33081159,-4293231.763961587,3854774.4946219428,348056.0
-2700176.8816083777,-4293209.996736842,3854772.684331334,348057.0
-2700172.007124475,-4293229.168972339,3854781.816421941,348058.0
-2700170.486000226,-4293216.555214435,3854779.422074736,348059.0
-2700172.259610279,-4293227.457145307,3854790.962075047,348060.0
-2700173.6922625266,-4293225.944760486,3854795.3682447267,348061.0
-2700170.668192537,-4293223.571717235,3854793.719464813,348062.0
-2700174.4785366473,-4293221.302729574,3854801.9430449153,348063.0
-2700172.2883604565,-4293222.942745335,3854799.8282828615,348064.0
-2700171.2521221684,-4293224.506437216,3854801.555044356,348065.0
-2700172.9825083036,-4293226.664633258,3854804.576212863,348066.0
-2700168.9814729714,-4293221.830272483,3854800.435407359,348067.0
-2700166.958449142,-4293222.709157056,3854805.515168924,348068.0
-2700164.76864437,-4293222.002867842,3854798.800094406,348069.0
-2700160.946883535,-4293221.390875595,3854796.8440050315,348070.0
-2700162.4962474066,-4293224.64412059,3854803.4943586946,348071.0
-2700163.298776813,-4293228.935504423,3854806.71021265,348072.0
-2700155.497393969,-4293225.991743729,3854799.409335747,348073.0
-2700151.6541323084,-4293226.635388679,3854798.8172160485,348074.0
-2700145.3156157695,-4293221.05761117,3854792.329742726,348075.0
-2700148.3477096003,-4293220.292971139,3854792.318343549,348076.0
-2700148.9000504273,-4293220.978839045,3854792.4599030395,348077.0
-2700147.217938298,-4293223.290622992,3854797.2768432326,348078.0
-2700149.2837228514,-4293225.998846549,3854803.9057743624,348079.0
-2700146.8631673525,-4293224.201453972,3854803.0897412305,348080.0
-2700149.334107745,-4293227.07895842,3854815.5758441044,348081.0
-2700145.37350534,-4293222.004782302,3854802.5882821223,348082.0
-2700145.542938388,-4293229.226227634,3854807.400140749,348083.0
-2700147.6238693935,-4293221.207561349,3854810.722009772,348084.0
-2700140.9439477306,-4293226.28391766,3854805.2857778813,348085.0
-2700143.9994748556,-4293233.073839298,3854813.122122487,348086.0
-2700138.7267453508,-4293226.695067798,3854807.50062811,348087.0
-2700135.4483615025,-4293232.379672005,3854807.0865053106,348088.0
-2700130.8032397996,-4293227.962810315,3854803.2621731744,348089.0
-2700127.950879078,-4293233.88417017,3854805.771174884,348090.0
-2700126.4987568054,-4293234.000886274,3854809.5457259705,348091.0
-2700128.815816774,-4293231.380864548,3854808.343063558,348092.0
-2700132.5829126835,-4293232.003836327,3854815.6497181947,348093.0
-2700129.580462073,-4293225.098048358,3854818.4190213038,348094.0
-2700129.327855354,-4293228.742096892,3854819.4547631126,348095.0
-2700122.9446647665,-4293223.795599476,3854818.116715088,348096.0
-2700123.594122409,-4293230.320669064,3854821.368395849,348097.0
-2700123.54281661,-4293235.322267951,3854817.8396812635,348098.0
-2700122.2016901514,-4293232.277117083,3854814.813259911,348099.0
-2700120.3028224474,-4293232.270641302,3854812.8406449943,348100.0
-2700116.0890161013,-4293227.553303314,3854811.6753498893,348101.0
-2700114.0362673607,-4293224.254646689,3854811.0178520405,348102.0
-2700111.0025879503,-4293229.420077661,3854818.010411459,348103.0
-2700111.16647952,-4293230.963369784,3854818.495496268,348104.0
-2700115.669848261,-4293232.5418629665,3854819.49021795,348105.0
