X_u,Y_u,Z_u,RxTime_s
-2695353.7114323056,-4298657.3439312605,3851750.583491092,596767.0
-2695351.390198336,-4298651.821464119,3851747.1663797526,596768.0
-2695354.259368357,-4298657.504807993,3851750.1101305387,596769.0
-2695349.9479707014,-4298655.011949283,3851749.72654606,596770.0
-2695350.4494339363,-4298655.674900324,3851744.322612907,596771.0
-2695350.4811169035,-4298657.586346951,3851747.2325004875,596772.0
-2695350.5512534142,-4298664.68908265,3851747.9746443434,596773.0
-2695354.034184623,-4298666.872885031,3851749.4714433863,596774.0
-2695350.7807263937,-4298661.338265721,3851741.976236046,596775.0
-2695350.1676256172,-4298660.60383283,3851742.5032734023,596776.0
-2695346.71946613,-4298661.90838882,3851744.326832515,596777.0
-2695346.6621567877,-4298660.233226094,3851742.0781318205,596778.0
-2695343.722525057,-4298659.147940705,3851745.2287858482,596779.0
-2695346.4335500016,-4298663.597220995,3851747.4301864677,596780.0
-2695348.600974956,-4298666.479412357,3851745.094474744,596781.0
-2695345.1097465153,-4298666.354224368,3851743.86457625,596782.0
-2695343.2114560115,-4298666.874719217,3851742.1899888795,596783.0
-2695340.859429669,-4298665.6341953045,3851739.6361898305,596784.0
-2695342.835809099,-4298671.453251357,3851748.536074855,596785.0
-2695337.7618655665,-4298671.708584756,3851741.887703819,596786.0
-2695339.5183643363,-4298673.591686015,3851740.721126343,596787.0
-2695338.1176521764,-4298671.8506267555,3851737.857550815,596788.0
-2695336.63355641,-4298671.686775542,3851737.4006735533,596789.0
-2695334.2434445377,-4298667.618133035,3851735.248814307,596790.0
-2695337.769000434,-4298673.743673852,3851741.9919204856,596791.0
-2695336.9644432035,-4298676.725556107,3851739.0520943026,596792.0
-2695335.8757299874,-4298673.88533071,3851734.6433179234,596793.0
-2695333.338322631,-4298673.190211026,3851732.577794829,596794.0
-2695335.815780567,-4298675.586296147,3851729.4815878347,596795.0
-2695333.0668786326,-4298679.153527301,3851734.2831782503,596796.0
-2695333.020322464,-4298677.990335535,3851732.7751052445,596797.0
-2695335.7896154444,-4298682.48035535,3851734.4177621957,596798.0
-2695329.859498302,-4298677.426492594,3851727.534072309,596799.0
-2695332.0272671888,-4298681.768079266,3851734.2951226295,596800.0
-2695328.5673721707,-4298682.095214029,3851733.8416860444,596801.0
-2695328.9955068454,-4298685.409105311,3851733.048529942,596802.0
-2695325.9773275875,-4298684.076332689,3851730.955580642,596803.0
-2695327.610570328,-4298685.37288988,3851730.9512445037,596804.0
-2695326.1546627395,-4298684.565287985,3851728.597943617,596805.0
-2695324.035746916,-4298685.219849273,3851727.5328255026,596806.0
-2695324.8478426435,-4298686.9664197555,3851729.3064463986,596807.0
-2695322.6527820393,-4298689.684661707,3851731.8486590777,596808.0
-2695322.005904978,-4298686.8247712115,3851733.376519369,596809.0
-2695319.593793434,-4298682.168196818,3851730.229722796,596810.0
